batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,2,1.5301485061645508,1.0393569469451904,587,0,0,587,0,37,37,0.0,0.0,0.002316,0.001761,0.000555,1
2,2,2.1660068035125732,1.7439095973968506,616,0,0,616,0,37,37,0.0,0.0,0.002403,0.001848,0.000555,0
3,2,1.8203823566436768,1.397942304611206,595,0,0,595,0,37,37,0.0,0.0,0.00234,0.001785,0.000555,2
4,2,2.1924827098846436,1.7696161270141602,604,0,0,604,0,36,36,0.0,0.0,0.002352,0.001812,0.00054,1
5,2,3.8910951614379883,3.6252996921539307,620,0,0,620,0,38,38,0.0,0.0,0.00243,0.00186,0.00057,1
6,2,1.973764181137085,1.5327882766723633,631,0,0,631,0,37,37,0.0,0.0,0.002448,0.001893,0.000555,1
7,2,1.8676691055297852,1.4419567584991455,607,0,0,607,0,37,37,0.0,0.0,0.002376,0.001821,0.000555,1
8,2,5.64842414855957,4.069106578826904,607,0,0,607,0,36,36,0.0,0.0,0.002361,0.001821,0.00054,2
9,2,1.6624224185943604,1.240342617034912,605,0,0,605,0,36,36,0.0,0.0,0.002355,0.001815,0.00054,0
10,2,1.798304796218872,1.3788154125213623,614,0,0,614,0,38,38,0.0,0.0,0.002412,0.001842,0.00057,1
11,2,1.9490859508514404,1.5235633850097656,568,0,0,568,0,37,37,0.0,0.0,0.002259,0.001704,0.000555,1
12,2,2.2706029415130615,1.8063116073608398,574,0,0,574,0,37,37,0.0,0.0,0.002277,0.001722,0.000555,1
13,2,1.7543442249298096,1.319169282913208,587,0,0,587,0,38,38,0.0,0.0,0.002331,0.001761,0.00057,1
14,2,1.6887643337249756,1.2661890983581543,599,0,0,599,0,37,37,0.0,0.0,0.002352,0.001797,0.000555,1
15,2,1.9715726375579834,1.5502104759216309,575,0,0,575,0,38,38,0.0,0.0,0.002295,0.001725,0.00057,0
16,2,2.2179789543151855,1.7726352214813232,615,0,0,615,0,36,36,0.0,0.0,0.002385,0.001845,0.00054,1
17,2,1.9812626838684082,1.247279405593872,599,0,0,599,0,38,38,0.0,0.0,0.002367,0.001797,0.00057,1
18,2,3.2217981815338135,2.568659543991089,593,0,0,593,0,38,38,0.0,0.0,0.002349,0.001779,0.00057,1
19,2,1.5454132556915283,1.1216351985931396,607,0,0,607,0,36,36,0.0,0.0,0.002361,0.001821,0.00054,1
20,2,1.8142473697662354,1.4627621173858643,585,0,0,585,0,37,37,0.0,0.0,0.00231,0.001755,0.000555,0
21,2,1.7227253913879395,1.2913098335266113,582,0,0,582,0,37,37,0.0,0.0,0.002301,0.001746,0.000555,1
22,2,1.5383827686309814,1.1188695430755615,589,0,0,589,0,37,37,0.0,0.0,0.002322,0.001767,0.000555,1
23,2,1.9325878620147705,1.4782025814056396,630,0,0,630,0,38,38,0.0,0.0,0.00246,0.00189,0.00057,1
24,2,1.7893869876861572,1.5916719436645508,597,0,0,597,0,37,37,0.0,0.0,0.002346,0.001791,0.000555,1
25,2,1.517991304397583,1.0894601345062256,604,0,0,604,0,38,38,0.0,0.0,0.002382,0.001812,0.00057,0
26,2,2.5398759841918945,2.1190805435180664,595,0,0,595,0,37,37,0.0,0.0,0.00234,0.001785,0.000555,1
27,2,1.5838401317596436,1.1624455451965332,602,0,0,602,0,37,37,0.0,0.0,0.002361,0.001806,0.000555,0
28,2,2.37237286567688,1.9550433158874512,590,0,0,590,0,38,38,0.0,0.0,0.00234,0.00177,0.00057,0
29,2,1.792672872543335,1.3676722049713135,584,0,0,584,0,38,38,0.0,0.0,0.002322,0.001752,0.00057,1
30,2,1.7518439292907715,1.253357172012329,589,0,0,589,0,37,37,0.0,0.0,0.002322,0.001767,0.000555,2
31,2,1.6115548610687256,1.155653715133667,609,0,0,609,0,36,36,0.0,0.0,0.002367,0.001827,0.00054,1
32,2,1.896867275238037,1.4643056392669678,588,0,0,588,0,37,37,0.0,0.0,0.002319,0.001764,0.000555,1
33,2,1.8319964408874512,1.4072010517120361,599,0,0,599,0,37,37,0.0,0.0,0.002352,0.001797,0.000555,0
34,2,1.9540863037109375,1.4640870094299316,581,0,0,581,0,36,36,0.0,0.0,0.002283,0.001743,0.00054,1
35,2,1.8539626598358154,1.4069697856903076,579,0,0,579,0,38,38,0.0,0.0,0.002307,0.001737,0.00057,2
36,2,1.8604254722595215,1.4339511394500732,588,0,0,588,0,37,37,0.0,0.0,0.002319,0.001764,0.000555,1
37,2,1.7456567287445068,1.3156547546386719,580,0,0,580,0,38,38,0.0,0.0,0.00231,0.00174,0.00057,2
38,2,4.601298570632935,4.0744829177856445,596,0,0,596,0,37,37,0.0,0.0,0.002343,0.001788,0.000555,0
39,2,1.9017016887664795,1.3532800674438477,611,0,0,611,0,38,38,0.0,0.0,0.002403,0.001833,0.00057,1
40,2,2.0414445400238037,1.614126205444336,591,0,0,591,0,37,37,0.0,0.0,0.002328,0.001773,0.000555,1
41,2,2.1065990924835205,1.6721839904785156,595,0,0,595,0,38,38,0.0,0.0,0.002355,0.001785,0.00057,0
42,2,1.4825725555419922,1.0509512424468994,579,0,0,579,0,37,37,0.0,0.0,0.002292,0.001737,0.000555,1
43,2,4.703596353530884,1.4952127933502197,575,0,0,575,0,37,37,0.0,0.0,0.00228,0.001725,0.000555,0
44,2,2.0862526893615723,1.6038198471069336,609,0,0,609,0,38,38,0.0,0.0,0.002397,0.001827,0.00057,1
45,2,1.7094364166259766,1.2746686935424805,576,0,0,576,0,38,38,0.0,0.0,0.002298,0.001728,0.00057,1
46,2,2.002131938934326,1.4924352169036865,585,0,0,585,0,38,38,0.0,0.0,0.002325,0.001755,0.00057,0
47,2,1.807603120803833,1.38199782371521,604,0,0,604,0,37,37,0.0,0.0,0.002367,0.001812,0.000555,1
