batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,20,7.153237819671631,4.549158096313477,1435,0,0,1435,0,297,297,0.0,0.0,0.00876,0.004305,0.004455,11
2,20,4.589846134185791,1.9167556762695312,1263,0,0,1263,0,300,300,0.0,0.0,0.008289,0.003789,0.0045,9
3,20,4.458726644515991,1.6448423862457275,1316,0,0,1316,0,302,302,0.0,0.0,0.008478,0.003948,0.00453,6
4,20,4.271771669387817,1.6398370265960693,1275,0,0,1275,0,299,299,0.0,0.0,0.00831,0.003825,0.004485,12
5,20,4.132537126541138,1.4639101028442383,1314,0,0,1314,0,302,302,0.0,0.0,0.008472,0.003942,0.00453,8
