batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,10,2.6896398067474365,1.2707231044769287,956,0,0,956,0,153,153,0.0,0.0,0.005163,0.002868,0.002295,8
2,10,2.9343879222869873,1.5231776237487793,996,0,0,996,0,152,152,0.0,0.0,0.005268,0.002988,0.00228,4
3,10,3.0138673782348633,1.5740268230438232,842,0,0,842,0,155,155,0.0,0.0,0.004851,0.002526,0.002325,5
4,10,3.079735279083252,1.5941317081451416,932,0,0,932,0,153,153,0.0,0.0,0.005091,0.002796,0.002295,4
5,10,3.7467100620269775,2.349470853805542,935,0,0,935,0,155,155,0.0,0.0,0.00513,0.002805,0.002325,3
6,10,2.940324306488037,1.5732247829437256,899,0,0,899,0,155,155,0.0,0.0,0.005022,0.002697,0.002325,3
7,10,3.159947633743286,1.7450780868530273,892,0,0,892,0,152,152,0.0,0.0,0.004956,0.002676,0.00228,6
8,10,2.7888200283050537,1.3743820190429688,901,0,0,901,0,155,155,0.0,0.0,0.005028,0.002703,0.002325,6
9,10,3.467696189880371,2.0485010147094727,873,0,0,873,0,156,156,0.0,0.0,0.004959,0.002619,0.00234,3
10,10,4.0942702293396,2.672616720199585,961,0,0,961,0,154,154,0.0,0.0,0.005193,0.002883,0.00231,5
