batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,2,3.210442066192627,0.4143638610839844,318,0,0,318,0,37,37,0.0,0.0,0.00010985,6.36e-05,4.625e-05,1
2,2,0.9389891624450684,0.5945014953613281,352,0,0,352,0,37,37,0.0,0.0,0.00011665,7.04e-05,4.625e-05,0
3,2,0.6347231864929199,0.3578622341156006,336,0,0,336,0,37,37,0.0,0.0,0.00011345,6.72e-05,4.625e-05,1
4,2,0.8819396495819092,0.6616904735565186,347,0,0,347,0,36,36,0.0,0.0,0.0001144,6.94e-05,4.5e-05,1
5,2,2.710141658782959,0.508129358291626,347,0,0,347,0,38,38,0.0,0.0,0.0001169,6.94e-05,4.75e-05,1
6,2,0.8222806453704834,0.5135946273803711,362,0,0,362,0,37,37,0.0,0.0,0.00011865,7.24e-05,4.625e-05,0
7,2,1.016514539718628,0.7189748287200928,331,0,0,331,0,37,37,0.0,0.0,0.00011245,6.62e-05,4.625e-05,0
8,2,1.0787665843963623,0.7218930721282959,337,0,0,337,0,36,36,0.0,0.0,0.0001124,6.74e-05,4.5e-05,1
9,2,0.7481317520141602,0.4510509967803955,339,0,0,339,0,36,36,0.0,0.0,0.0001128,6.78e-05,4.5e-05,0
10,2,1.2057924270629883,0.9240128993988037,345,0,0,345,0,38,38,0.0,0.0,0.0001165,6.9e-05,4.75e-05,1
11,2,0.6987881660461426,0.38848090171813965,308,0,0,308,0,37,37,0.0,0.0,0.00010785,6.16e-05,4.625e-05,0
12,2,5.196208238601685,0.45704150199890137,312,0,0,312,0,37,37,0.0,0.0,0.00010865,6.24e-05,4.625e-05,0
13,2,0.7607333660125732,0.5115053653717041,318,0,0,318,0,38,38,0.0,0.0,0.0001111,6.36e-05,4.75e-05,1
14,2,0.7317640781402588,0.4416210651397705,329,0,0,329,0,37,37,0.0,0.0,0.00011205,6.58e-05,4.625e-05,1
15,2,0.7048869132995605,0.49230337142944336,312,0,0,312,0,38,38,0.0,0.0,0.0001099,6.24e-05,4.75e-05,0
16,2,0.8614318370819092,0.55771803855896,344,0,0,344,0,36,36,0.0,0.0,0.0001138,6.88e-05,4.5e-05,0
17,2,2.1196017265319824,0.5975432395935059,340,0,0,340,0,38,38,0.0,0.0,0.0001155,6.8e-05,4.75e-05,0
18,2,0.9527225494384766,0.45728111267089844,329,0,0,329,0,38,38,0.0,0.0,0.0001133,6.58e-05,4.75e-05,0
19,2,0.7423028945922852,0.5125467777252197,342,0,0,342,0,36,36,0.0,0.0,0.0001134,6.84e-05,4.5e-05,1
20,2,0.6814868450164795,0.47541332244873047,318,0,0,318,0,37,37,0.0,0.0,0.00010985,6.36e-05,4.625e-05,0
21,2,0.8434927463531494,0.45807337760925293,325,0,0,325,0,37,37,0.0,0.0,0.00011125,6.5e-05,4.625e-05,0
22,2,1.5973002910614014,1.3663179874420166,328,0,0,328,0,37,37,0.0,0.0,0.00011185,6.56e-05,4.625e-05,1
23,2,0.9304687976837158,0.6306920051574707,361,0,0,361,0,38,38,0.0,0.0,0.0001197,7.22e-05,4.75e-05,0
