batch_size,accuracy,total_tweets,correct,true_positives,false_positives,true_negatives,false_negatives,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,0.65,100,65,17,0,48,35,110.00074863433838,100,29576,0,0,29576,0,2560,2560,0.0,0.0,0.009115199999999995,0.005915199999999999,0.0031999999999999993
2,0.62,100,62,17,3,45,35,56.777968645095825,50,16574,0,0,16574,0,1860,1860,0.0,0.0,0.0056397999999999995,0.0033147999999999997,0.0023249999999999994
5,0.6,100,60,17,5,43,35,22.380425930023193,20,8705,0,0,8705,0,1440,1440,0.0,0.0,0.0035409999999999994,0.001741,0.0018
10,0.57,100,57,13,4,44,39,15.445696592330933,10,6108,0,0,6108,0,1300,1300,0.0,0.0,0.0028465999999999995,0.0012216,0.0016250000000000001
20,0.63,100,63,18,3,45,34,12.419996500015259,5,4800,0,0,4800,0,1230,1230,0.0,0.0,0.0024974999999999997,0.0009599999999999999,0.0015374999999999998
25,0.56,100,56,11,3,45,41,10.7396981716156,4,4539,0,0,4539,0,1216,1216,0.0,0.0,0.0024278,0.0009078000000000001,0.00152
50,0.57,100,57,12,3,45,40,8.65832805633545,2,4016,0,0,4016,0,1188,1188,0.0,0.0,0.0022881999999999998,0.0008032,0.001485
100,0.52,100,52,6,2,46,46,7.661333799362183,1,3754,0,0,3754,0,1174,1174,0.0,0.0,0.0022183,0.0007508,0.0014675
