batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
41,1,0.8876266479492188,0.6912035942077637,452,0,0,452,0,27,27,0.0,0.0,0.00012415,9.04e-05,3.375e-05,0
42,1,0.8165850639343262,0.6120781898498535,502,0,0,502,0,27,27,0.0,0.0,0.00013415,0.0001004,3.375e-05,0
43,1,0.8699030876159668,0.6874420642852783,527,0,0,527,0,27,27,0.0,0.0,0.00013915,0.0001054,3.375e-05,0
44,1,0.8799550533294678,0.7229099273681641,481,0,0,481,0,27,27,0.0,0.0,0.00012995,9.62e-05,3.375e-05,0
45,1,3.2199792861938477,0.6430881023406982,529,0,0,529,0,27,27,0.0,0.0,0.00013955,0.0001058,3.375e-05,0
46,1,1.1699292659759521,1.1322510242462158,485,0,0,485,0,27,27,0.0,0.0,0.00013075,9.7e-05,3.375e-05,0
47,1,1.7770287990570068,1.5014615058898926,407,0,0,407,0,27,27,0.0,0.0,0.00011515,8.14e-05,3.375e-05,0
48,1,1.0518298149108887,0.7409834861755371,464,0,0,464,0,27,27,0.0,0.0,0.00012655,9.28e-05,3.375e-05,0
49,1,2.8850905895233154,2.6935133934020996,271,0,0,271,0,27,27,0.0,0.0,8.795e-05,5.42e-05,3.375e-05,0
50,1,3.3314435482025146,0.7582085132598877,660,0,0,660,0,27,27,0.0,0.0,0.00016575,0.000132,3.375e-05,0
51,1,2.999537944793701,2.821007013320923,462,0,0,462,0,27,27,0.0,0.0,0.00012615,9.24e-05,3.375e-05,0
52,1,0.8452069759368896,0.6427738666534424,573,0,0,573,0,27,27,0.0,0.0,0.00014835,0.0001146,3.375e-05,0
53,1,0.8240773677825928,0.5657882690429688,388,0,0,388,0,27,27,0.0,0.0,0.00011135,7.76e-05,3.375e-05,0
54,1,0.9229373931884766,0.722095251083374,271,0,0,271,0,27,27,0.0,0.0,8.795e-05,5.42e-05,3.375e-05,0
55,1,0.8816437721252441,0.6729750633239746,271,0,0,271,0,27,27,0.0,0.0,8.795e-05,5.42e-05,3.375e-05,0
56,1,1.2290470600128174,0.7493793964385986,497,0,0,497,0,27,27,0.0,0.0,0.00013315,9.94e-05,3.375e-05,0
57,1,0.9387867450714111,0.7397758960723877,676,0,0,676,0,27,27,0.0,0.0,0.00016895,0.0001352,3.375e-05,0
58,1,0.9078691005706787,0.7219767570495605,517,0,0,517,0,27,27,0.0,0.0,0.00013715,0.0001034,3.375e-05,0
59,1,0.8670938014984131,0.6656327247619629,411,0,0,411,0,27,27,0.0,0.0,0.00011595,8.22e-05,3.375e-05,0
60,1,0.9813330173492432,0.7694416046142578,546,0,0,546,0,27,27,0.0,0.0,0.00014295,0.0001092,3.375e-05,0
61,1,0.7310786247253418,0.596754789352417,461,0,0,461,0,26,26,0.0,0.0,0.0001247,9.22e-05,3.25e-05,0
62,1,0.802560567855835,0.6406362056732178,492,0,0,492,0,27,27,0.0,0.0,0.00013215,9.84e-05,3.375e-05,0
63,1,0.9514007568359375,0.7244827747344971,341,0,0,341,0,27,27,0.0,0.0,0.00010195,6.82e-05,3.375e-05,0
64,1,1.0621681213378906,0.6532008647918701,422,0,0,422,0,27,27,0.0,0.0,0.00011815,8.44e-05,3.375e-05,0
65,1,0.8547060489654541,0.6690480709075928,321,0,0,321,0,27,27,0.0,0.0,9.795e-05,6.42e-05,3.375e-05,0
