batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,10,2.210188865661621,1.2993929386138916,2966,0,0,2966,0,144,144,0.0,0.0,0.0007732,0.0005932,0.00018,0
2,10,1.9915990829467773,0.6911113262176514,1733,0,0,1733,0,144,144,0.0,0.0,0.0005266,0.0003466,0.00018,0
3,10,1.712254285812378,0.745638370513916,2127,0,0,2127,0,144,144,0.0,0.0,0.0006054,0.0004254,0.00018,0
4,10,1.5932512283325195,0.6877529621124268,1834,0,0,1834,0,143,143,0.0,0.0,0.00054555,0.0003668,0.00017875,0
5,10,1.593297004699707,0.7928743362426758,2528,0,0,2528,0,144,144,0.0,0.0,0.0006856,0.0005056,0.00018,0
6,10,1.5296368598937988,0.7413079738616943,2362,0,0,2362,0,144,144,0.0,0.0,0.0006524,0.0004724,0.00018,0
7,10,1.5696756839752197,0.7004044055938721,2261,0,0,2261,0,143,143,0.0,0.0,0.00063095,0.0004522,0.00017875,0
8,10,1.562847375869751,0.7738475799560547,2735,0,0,2735,0,144,144,0.0,0.0,0.000727,0.000547,0.00018,1
9,10,1.4671072959899902,0.6959893703460693,2078,0,0,2078,0,143,143,0.0,0.0,0.00059435,0.0004156,0.00017875,0
10,10,1.5151686668395996,0.627077579498291,1966,0,0,1966,0,143,143,0.0,0.0,0.00057195,0.0003932,0.00017875,0
