batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,5,1.160663366317749,0.6871531009674072,1026,0,0,1026,0,79,79,0.0,0.0,0.00030395,0.0002052,9.875e-05,0
2,5,1.1218690872192383,0.6409351825714111,2190,0,0,2190,0,79,79,0.0,0.0,0.00053675,0.000438,9.875e-05,0
3,5,1.0646209716796875,0.7166814804077148,1200,0,0,1200,0,79,79,0.0,0.0,0.00033875,0.00024,9.875e-05,0
4,5,1.1556053161621094,0.6722140312194824,783,0,0,783,0,79,79,0.0,0.0,0.00025535,0.0001566,9.875e-05,0
5,5,1.2942194938659668,0.7551298141479492,1078,0,0,1078,0,79,79,0.0,0.0,0.00031435,0.0002156,9.875e-05,0
6,5,1.2204463481903076,0.660912275314331,1299,0,0,1299,0,79,79,0.0,0.0,0.00035855,0.0002598,9.875e-05,0
7,5,1.0658183097839355,0.6859300136566162,1361,0,0,1361,0,78,78,0.0,0.0,0.0003697,0.0002722,9.75e-05,0
8,5,1.2301387786865234,0.8058245182037354,723,0,0,723,0,79,79,0.0,0.0,0.00024335,0.0001446,9.875e-05,0
9,5,1.03617262840271,0.6330747604370117,1491,0,0,1491,0,79,79,0.0,0.0,0.00039695,0.0002982,9.875e-05,0
10,5,1.1456685066223145,0.7421021461486816,1287,0,0,1287,0,79,79,0.0,0.0,0.00035615,0.0002574,9.875e-05,0
11,5,1.0375826358795166,0.591301679611206,965,0,0,965,0,79,79,0.0,0.0,0.00029175,0.000193,9.875e-05,0
12,5,3.324613332748413,0.6952753067016602,1647,0,0,1647,0,79,79,0.0,0.0,0.00042815,0.0003294,9.875e-05,0
13,5,1.0619111061096191,0.8736639022827148,1037,0,0,1037,0,78,78,0.0,0.0,0.0003049,0.0002074,9.75e-05,0
14,5,1.0731732845306396,0.6587202548980713,1474,0,0,1474,0,79,79,0.0,0.0,0.00039355,0.0002948,9.875e-05,0
15,5,1.0916104316711426,0.659949541091919,1334,0,0,1334,0,79,79,0.0,0.0,0.00036555,0.0002668,9.875e-05,1
16,5,1.1803343296051025,0.7157697677612305,1651,0,0,1651,0,79,79,0.0,0.0,0.00042895,0.0003302,9.875e-05,0
17,5,1.1076903343200684,0.6477289199829102,1286,0,0,1286,0,79,79,0.0,0.0,0.00035595,0.0002572,9.875e-05,0
18,5,1.2981300354003906,0.7696282863616943,1042,0,0,1042,0,78,78,0.0,0.0,0.0003059,0.0002084,9.75e-05,0
19,5,1.107287883758545,0.7003941535949707,1090,0,0,1090,0,78,78,0.0,0.0,0.0003155,0.000218,9.75e-05,0
20,5,1.0461015701293945,0.7117762565612793,1126,0,0,1126,0,79,79,0.0,0.0,0.00032395,0.0002252,9.875e-05,0
