batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,2,0.7871646881103516,0.468029260635376,416,0,0,416,0,35,35,0.0,0.0,0.00012695,8.32e-05,4.375e-05
2,2,0.9031109809875488,0.6032750606536865,430,0,0,430,0,34,34,0.0,0.0,0.0001285,8.6e-05,4.25e-05
3,2,1.069164752960205,0.7618470191955566,397,0,0,397,0,36,36,0.0,0.0,0.0001244,7.94e-05,4.5e-05
4,2,1.2968220710754395,0.8061459064483643,405,0,0,405,0,33,33,0.0,0.0,0.00012225,8.1e-05,4.125e-05
5,2,0.6779921054840088,0.37016725540161133,408,0,0,408,0,35,35,0.0,0.0,0.00012535,8.16e-05,4.375e-05
6,2,0.9844565391540527,0.7151870727539062,406,0,0,406,0,35,35,0.0,0.0,0.00012495,8.12e-05,4.375e-05
7,2,0.7885110378265381,0.5130965709686279,415,0,0,415,0,35,35,0.0,0.0,0.00012675,8.3e-05,4.375e-05
8,2,0.8040468692779541,0.5450139045715332,423,0,0,423,0,36,36,0.0,0.0,0.0001296,8.46e-05,4.5e-05
9,2,0.8478095531463623,0.617617130279541,414,0,0,414,0,34,34,0.0,0.0,0.0001253,8.28e-05,4.25e-05
10,2,0.8192181587219238,0.6101903915405273,416,0,0,416,0,34,34,0.0,0.0,0.0001257,8.32e-05,4.25e-05
11,2,1.0629987716674805,0.799208402633667,381,0,0,381,0,35,35,0.0,0.0,0.00011995,7.62e-05,4.375e-05
12,2,1.2024435997009277,1.1951079368591309,412,0,0,412,0,34,34,0.0,0.0,0.0001249,8.24e-05,4.25e-05
13,2,1.1436336040496826,0.6715457439422607,412,0,0,412,0,34,34,0.0,0.0,0.0001249,8.24e-05,4.25e-05
14,2,0.9409794807434082,0.7125041484832764,403,0,0,403,0,36,36,0.0,0.0,0.0001256,8.06e-05,4.5e-05
15,2,0.9521021842956543,0.39511966705322266,412,0,0,412,0,36,36,0.0,0.0,0.0001274,8.24e-05,4.5e-05
16,2,1.0166478157043457,0.8438560962677002,402,0,0,402,0,35,35,0.0,0.0,0.00012415,8.04e-05,4.375e-05
17,2,2.6599323749542236,0.645576000213623,403,0,0,403,0,36,36,0.0,0.0,0.0001256,8.06e-05,4.5e-05
18,2,0.9922842979431152,0.4960958957672119,377,0,0,377,0,34,34,0.0,0.0,0.0001179,7.54e-05,4.25e-05
19,2,0.7137880325317383,0.38550662994384766,419,0,0,419,0,34,34,0.0,0.0,0.0001263,8.38e-05,4.25e-05
20,2,0.9426705837249756,0.6331596374511719,418,0,0,418,0,36,36,0.0,0.0,0.0001286,8.36e-05,4.5e-05
21,2,1.0900309085845947,0.8293352127075195,396,0,0,396,0,36,36,0.0,0.0,0.0001242,7.92e-05,4.5e-05
22,2,0.8010482788085938,0.5421583652496338,405,0,0,405,0,34,34,0.0,0.0,0.0001235,8.1e-05,4.25e-05
23,2,1.0364487171173096,0.7485575675964355,409,0,0,409,0,36,36,0.0,0.0,0.0001268,8.18e-05,4.5e-05
24,2,0.7530102729797363,0.40926671028137207,420,0,0,420,0,33,33,0.0,0.0,0.00012525,8.4e-05,4.125e-05
25,2,0.9652285575866699,0.7466418743133545,413,0,0,413,0,35,35,0.0,0.0,0.00012635,8.26e-05,4.375e-05
26,2,0.6861448287963867,0.37638020515441895,397,0,0,397,0,36,36,0.0,0.0,0.0001244,7.94e-05,4.5e-05
27,2,1.1138882637023926,0.6356563568115234,423,0,0,423,0,37,37,0.0,0.0,0.00013085,8.46e-05,4.625e-05
28,2,0.8604235649108887,0.6057896614074707,401,0,0,401,0,35,35,0.0,0.0,0.00012395,8.02e-05,4.375e-05
29,2,0.9854655265808105,0.7269237041473389,384,0,0,384,0,36,36,0.0,0.0,0.0001218,7.68e-05,4.5e-05
30,2,0.8801891803741455,0.6889016628265381,401,0,0,401,0,35,35,0.0,0.0,0.00012395,8.02e-05,4.375e-05
31,2,0.8289401531219482,0.6506140232086182,405,0,0,405,0,34,34,0.0,0.0,0.0001235,8.1e-05,4.25e-05
32,2,0.8859806060791016,0.554340124130249,402,0,0,402,0,37,37,0.0,0.0,0.00012665,8.04e-05,4.625e-05
33,2,0.9808361530303955,0.6258449554443359,399,0,0,399,0,35,35,0.0,0.0,0.00012355,7.98e-05,4.375e-05
34,2,3.6604626178741455,3.6583964824676514,404,0,0,404,0,35,35,0.0,0.0,0.00012455,8.08e-05,4.375e-05
35,2,0.7362241744995117,0.4118974208831787,392,0,0,392,0,35,35,0.0,0.0,0.00012215,7.84e-05,4.375e-05
36,2,0.7387309074401855,0.40281009674072266,388,0,0,388,0,35,35,0.0,0.0,0.00012135,7.76e-05,4.375e-05
37,2,1.6953842639923096,1.4030876159667969,400,0,0,400,0,34,34,0.0,0.0,0.0001225,8e-05,4.25e-05
38,2,1.050201177597046,0.6789224147796631,424,0,0,424,0,35,35,0.0,0.0,0.00012855,8.48e-05,4.375e-05
39,2,0.9459543228149414,0.706066370010376,403,0,0,403,0,34,34,0.0,0.0,0.0001231,8.06e-05,4.25e-05
40,2,0.8701746463775635,0.6421947479248047,396,0,0,396,0,37,37,0.0,0.0,0.00012545,7.92e-05,4.625e-05
41,2,0.9041769504547119,0.5761575698852539,375,0,0,375,0,35,35,0.0,0.0,0.00011875,7.5e-05,4.375e-05
42,2,2.2500319480895996,0.6956925392150879,398,0,0,398,0,36,36,0.0,0.0,0.0001246,7.96e-05,4.5e-05
43,2,0.8666090965270996,0.6128909587860107,400,0,0,400,0,36,36,0.0,0.0,0.000125,8e-05,4.5e-05
44,2,0.9369654655456543,0.572887659072876,394,0,0,394,0,37,37,0.0,0.0,0.00012505,7.88e-05,4.625e-05
45,2,0.844505786895752,0.5973930358886719,413,0,0,413,0,35,35,0.0,0.0,0.00012635,8.26e-05,4.375e-05
46,2,0.9750924110412598,0.6930644512176514,403,0,0,403,0,35,35,0.0,0.0,0.00012435,8.06e-05,4.375e-05
47,2,0.7159264087677002,0.42502903938293457,414,0,0,414,0,36,36,0.0,0.0,0.0001278,8.28e-05,4.5e-05
48,2,0.8654284477233887,0.43407630920410156,406,0,0,406,0,36,36,0.0,0.0,0.0001262,8.12e-05,4.5e-05
49,2,0.915189266204834,0.6550743579864502,393,0,0,393,0,34,34,0.0,0.0,0.0001211,7.86e-05,4.25e-05
50,2,1.0085344314575195,0.71443772315979,415,0,0,415,0,36,36,0.0,0.0,0.000128,8.3e-05,4.5e-05
