batch_size,accuracy,total_tweets,correct,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,0.78,100,78,123.12443685531616,100,36633,0,0,36633,0,2509,2509,0.0,0.0,0.010462849999999996,0.0073266,0.0031362500000000014
2,0.77,100,77,52.45300483703613,50,20242,0,0,20242,0,1757,1757,0.0,0.0,0.006244649999999999,0.004048400000000001,0.0021962499999999994
5,0.72,100,72,26.20071291923523,20,10446,0,0,10446,0,1308,1308,0.0,0.0,0.0037242,0.0020892000000000003,0.0016350000000000002
10,0.74,100,74,13.786251783370972,10,7182,0,0,7182,0,1159,1159,0.0,0.0,0.0028851499999999995,0.0014364000000000002,0.00144875
20,0.75,100,75,10.65409255027771,5,5543,0,0,5543,0,1085,1085,0.0,0.0,0.00246485,0.0011086,0.00135625
25,0.79,100,79,9.277745008468628,4,5217,0,0,5217,0,1069,1069,0.0,0.0,0.00237965,0.0010433999999999999,0.00133625
50,0.75,100,75,8.368244409561157,2,4558,0,0,4558,0,1038,1038,0.0,0.0,0.0022091000000000003,0.0009116,0.0012975
100,0.77,100,77,7.274380922317505,1,4233,0,0,4233,0,1024,1024,0.0,0.0,0.0021266,0.0008466,0.00128
