batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,10,1.3258578777313232,0.6907556056976318,745,0,0,745,0,113,113,0.0,0.0,0.00029025,0.000149,0.00014125
2,10,1.3285677433013916,0.4501309394836426,771,0,0,771,0,115,115,0.0,0.0,0.00029795,0.0001542,0.00014375
3,10,1.2476611137390137,0.4009056091308594,720,0,0,720,0,115,115,0.0,0.0,0.00028775,0.000144,0.00014375
4,10,1.6500942707061768,0.8876850605010986,707,0,0,707,0,115,115,0.0,0.0,0.00028515,0.0001414,0.00014375
5,10,1.3977420330047607,0.5222954750061035,744,0,0,744,0,115,115,0.0,0.0,0.00029255,0.0001488,0.00014375
6,10,1.3616917133331299,0.5408735275268555,693,0,0,693,0,118,118,0.0,0.0,0.0002861,0.0001386,0.0001475
7,10,1.401597261428833,0.65299391746521,688,0,0,688,0,118,118,0.0,0.0,0.0002851,0.0001376,0.0001475
8,10,1.3577139377593994,0.5978660583496094,701,0,0,701,0,114,114,0.0,0.0,0.0002827,0.0001402,0.0001425
9,10,1.5260629653930664,0.7320449352264404,684,0,0,684,0,119,119,0.0,0.0,0.00028555,0.0001368,0.00014875
10,10,1.189262866973877,0.4447143077850342,729,0,0,729,0,117,117,0.0,0.0,0.00029205,0.0001458,0.00014625
