batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,1,1.3156356811523438,1.0661678314208984,373,0,0,373,0,26,26,0.0,0.0,0.0001071,7.46e-05,3.25e-05
2,1,0.9605534076690674,0.7098169326782227,368,0,0,368,0,25,25,0.0,0.0,0.00010485,7.36e-05,3.125e-05
3,1,0.9075107574462891,0.6238079071044922,386,0,0,386,0,24,24,0.0,0.0,0.0001072,7.72e-05,3e-05
4,1,1.0221903324127197,0.7494528293609619,376,0,0,376,0,25,25,0.0,0.0,0.00010645,7.52e-05,3.125e-05
5,1,0.9133245944976807,0.6872901916503906,366,0,0,366,0,25,25,0.0,0.0,0.00010445,7.32e-05,3.125e-05
6,1,0.7615258693695068,0.5003640651702881,358,0,0,358,0,26,26,0.0,0.0,0.0001041,7.16e-05,3.25e-05
7,1,0.6029050350189209,0.3654160499572754,375,0,0,375,0,24,24,0.0,0.0,0.000105,7.5e-05,3e-05
8,1,1.0750188827514648,0.8663749694824219,355,0,0,355,0,24,24,0.0,0.0,0.000101,7.1e-05,3e-05
9,1,0.854727029800415,0.6005964279174805,353,0,0,353,0,26,26,0.0,0.0,0.0001031,7.06e-05,3.25e-05
10,1,0.9794578552246094,0.7775468826293945,381,0,0,381,0,24,24,0.0,0.0,0.0001062,7.62e-05,3e-05
11,1,0.8363561630249023,0.6257519721984863,366,0,0,366,0,25,25,0.0,0.0,0.00010445,7.32e-05,3.125e-05
12,1,0.6500911712646484,0.424468994140625,370,0,0,370,0,26,26,0.0,0.0,0.0001065,7.4e-05,3.25e-05
13,1,0.920102596282959,0.7227556705474854,363,0,0,363,0,25,25,0.0,0.0,0.00010385,7.26e-05,3.125e-05
14,1,0.9210679531097412,0.7343509197235107,377,0,0,377,0,24,24,0.0,0.0,0.0001054,7.54e-05,3e-05
15,1,0.7652466297149658,0.545189380645752,382,0,0,382,0,26,26,0.0,0.0,0.0001089,7.64e-05,3.25e-05
16,1,0.9499096870422363,0.7770364284515381,370,0,0,370,0,25,25,0.0,0.0,0.00010525,7.4e-05,3.125e-05
17,1,0.8778202533721924,0.7122097015380859,371,0,0,371,0,24,24,0.0,0.0,0.0001042,7.42e-05,3e-05
18,1,0.7396345138549805,0.48393750190734863,375,0,0,375,0,25,25,0.0,0.0,0.00010625,7.5e-05,3.125e-05
19,1,0.7749884128570557,0.5095720291137695,379,0,0,379,0,25,25,0.0,0.0,0.00010705,7.58e-05,3.125e-05
20,1,0.8404018878936768,0.615086555480957,365,0,0,365,0,24,24,0.0,0.0,0.000103,7.3e-05,3e-05
21,1,0.845325231552124,0.72310471534729,345,0,0,345,0,24,24,0.0,0.0,9.9e-05,6.9e-05,3e-05
22,1,0.9731481075286865,0.9468278884887695,364,0,0,364,0,26,26,0.0,0.0,0.0001053,7.28e-05,3.25e-05
23,1,0.981781005859375,0.5048613548278809,371,0,0,371,0,25,25,0.0,0.0,0.00010545,7.42e-05,3.125e-05
24,1,1.0606966018676758,0.8513000011444092,368,0,0,368,0,24,24,0.0,0.0,0.0001036,7.36e-05,3e-05
25,1,0.9784965515136719,0.768057107925415,363,0,0,363,0,25,25,0.0,0.0,0.00010385,7.26e-05,3.125e-05
26,1,0.8064208030700684,0.5658409595489502,381,0,0,381,0,24,24,0.0,0.0,0.0001062,7.62e-05,3e-05
27,1,1.0289363861083984,0.8686587810516357,370,0,0,370,0,25,25,0.0,0.0,0.00010525,7.4e-05,3.125e-05
28,1,2.246161699295044,1.9624040126800537,357,0,0,357,0,26,26,0.0,0.0,0.0001039,7.14e-05,3.25e-05
29,1,0.7316319942474365,0.5057063102722168,373,0,0,373,0,25,25,0.0,0.0,0.00010585,7.46e-05,3.125e-05
30,1,0.7930986881256104,0.5833353996276855,367,0,0,367,0,26,26,0.0,0.0,0.0001059,7.34e-05,3.25e-05
31,1,1.0045175552368164,0.7765741348266602,357,0,0,357,0,26,26,0.0,0.0,0.0001039,7.14e-05,3.25e-05
32,1,0.6609957218170166,0.38820958137512207,369,0,0,369,0,24,24,0.0,0.0,0.0001038,7.38e-05,3e-05
33,1,0.9104480743408203,0.7469396591186523,361,0,0,361,0,25,25,0.0,0.0,0.00010345,7.22e-05,3.125e-05
34,1,0.6906602382659912,0.4566831588745117,372,0,0,372,0,26,26,0.0,0.0,0.0001069,7.44e-05,3.25e-05
35,1,0.8961868286132812,0.6895711421966553,353,0,0,353,0,25,25,0.0,0.0,0.00010185,7.06e-05,3.125e-05
36,1,0.9112303256988525,0.6899368762969971,348,0,0,348,0,24,24,0.0,0.0,9.96e-05,6.96e-05,3e-05
37,1,0.9665274620056152,0.8054032325744629,378,0,0,378,0,25,25,0.0,0.0,0.00010685,7.56e-05,3.125e-05
38,1,0.9828801155090332,0.7439103126525879,374,0,0,374,0,24,24,0.0,0.0,0.0001048,7.48e-05,3e-05
39,1,0.8854312896728516,0.712130069732666,360,0,0,360,0,25,25,0.0,0.0,0.00010325,7.2e-05,3.125e-05
40,1,0.932417631149292,0.6846849918365479,384,0,0,384,0,26,26,0.0,0.0,0.0001093,7.68e-05,3.25e-05
41,1,0.8153424263000488,0.6161034107208252,374,0,0,374,0,25,25,0.0,0.0,0.00010605,7.48e-05,3.125e-05
42,1,0.891913652420044,0.6248536109924316,352,0,0,352,0,25,25,0.0,0.0,0.00010165,7.04e-05,3.125e-05
43,1,0.861567497253418,0.6339066028594971,366,0,0,366,0,25,25,0.0,0.0,0.00010445,7.32e-05,3.125e-05
44,1,0.6193439960479736,0.3980989456176758,365,0,0,365,0,25,25,0.0,0.0,0.00010425,7.3e-05,3.125e-05
45,1,0.627406120300293,0.39600038528442383,377,0,0,377,0,25,25,0.0,0.0,0.00010665,7.54e-05,3.125e-05
46,1,0.7038307189941406,0.4298095703125,359,0,0,359,0,26,26,0.0,0.0,0.0001043,7.18e-05,3.25e-05
47,1,0.608191967010498,0.4057495594024658,362,0,0,362,0,24,24,0.0,0.0,0.0001024,7.24e-05,3e-05
48,1,0.7941319942474365,0.5951368808746338,386,0,0,386,0,24,24,0.0,0.0,0.0001072,7.72e-05,3e-05
49,1,0.9371664524078369,0.9099040031433105,369,0,0,369,0,25,25,0.0,0.0,0.00010505,7.38e-05,3.125e-05
50,1,1.1565372943878174,0.7548584938049316,375,0,0,375,0,25,25,0.0,0.0,0.00010625,7.5e-05,3.125e-05
51,1,0.973466157913208,0.7290542125701904,365,0,0,365,0,26,26,0.0,0.0,0.0001055,7.3e-05,3.25e-05
52,1,0.8451039791107178,0.5689420700073242,361,0,0,361,0,26,26,0.0,0.0,0.0001047,7.22e-05,3.25e-05
53,1,29.542771577835083,3.2642128467559814,382,0,0,382,0,25,25,0.0,0.0,0.00010765,7.64e-05,3.125e-05
54,1,1.1962273120880127,0.691603422164917,370,0,0,370,0,26,26,0.0,0.0,0.0001065,7.4e-05,3.25e-05
