batch_size,fields_per_call,accuracy,precision,recall,f1,true_positives,false_positives,false_negatives,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,run_id,total_ttft_secs
1,41,0.7759210791222065,0.7374665135859165,0.8186066270178419,0.7759210791222065,1927,686,427,1520.8354995250702,100,1261132,0,0,1261132,0,167804,167804,0.0,0.0,2.100152,1.261132,0.8390200000000001,1,125.9404935836792
2,41,0.7781282860147213,0.770512286547272,0.7858963466440102,0.7781282860147213,1850,551,504,1240.962340593338,50,1161866,0,0,1161866,0,146198,146198,0.0,0.0,1.892856,1.1618659999999998,0.73099,1,74.883056640625
5,41,0.7764600581785635,0.8203309692671394,0.7370433305012745,0.7764600581785635,1735,380,619,910.4168124198914,20,1102307,0,0,1102307,0,119200,119200,0.0,0.0,1.6983070000000002,1.102307,0.596,1,44.56933569908142
10,41,0.7537878787878788,0.8513368983957219,0.6762956669498725,0.7537878787878788,1592,278,762,769.5307910442352,10,1082461,0,0,1082461,0,106690,106690,0.0,0.0,1.6159109999999999,1.082461,0.53345,1,36.70122766494751
