batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
26,all_fields,2,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0|BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement__Document Name_0,23.256406784057617,2.637608528137207,33513,0,0,33513,0,2618,2618,0.0,0.0,0.046603,0.033513,0.01309
27,all_fields,2,MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT__Document Name_0|ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT__Document Name_0,20.034706115722656,0.9926092624664307,10781,0,0,10781,0,2516,2516,0.0,0.0,0.023361,0.010781,0.01258
28,all_fields,2,RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement__Document Name_0|WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT__Document Name_0,37.75140428543091,1.0672423839569092,20385,0,0,20385,0,4373,4373,0.0,0.0,0.04225,0.020385,0.021865
29,all_fields,2,CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement__Document Name_0|ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT__Document Name_0,10.70889949798584,1.1793925762176514,11980,0,0,11980,0,1431,1431,0.0,0.0,0.019135,0.01198,0.007155
30,all_fields,2,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1__Document Name_0|NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT__Document Name_0,18.956761360168457,1.195735216140747,11662,0,0,11662,0,2193,2193,0.0,0.0,0.022627,0.011662,0.010965
31,all_fields,2,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Document Name_0|SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT__Document Name_0,29.944385528564453,1.5877304077148438,25233,0,0,25233,0,3368,3368,0.0,0.0,0.042073,0.025233,0.01684
32,all_fields,2,"MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT__Document Name_0|CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT__Document Name_0",22.60982871055603,1.6668524742126465,20385,0,0,20385,0,2777,2777,0.0,0.0,0.03427,0.020385,0.013885
33,all_fields,2,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4__Document Name_0|OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2__Document Name_0,9.211503982543945,0.8852269649505615,3596,0,0,3596,0,1230,1230,0.0,0.0,0.009746,0.003596,0.00615
34,all_fields,2,"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT__Document Name_0|FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement__Document Name_0",17.83498477935791,1.2653124332427979,12498,0,0,12498,0,2208,2208,0.0,0.0,0.023538,0.012498,0.01104
35,all_fields,2,BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT__Document Name_0|DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT__Document Name_0,16.861701250076294,1.3275845050811768,15798,0,0,15798,0,2219,2219,0.0,0.0,0.026893,0.015798,0.011095
