batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
26,all_fields,1,PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement__Document Name_0,19.936776161193848,1.7655718326568604,17760,0,0,17760,0,2005,2005,0.0,0.0,0.027785,0.01776,0.010025
27,all_fields,1,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement__Document Name_0,16.315686225891113,2.1727137565612793,13267,0,0,13267,0,1946,1946,0.0,0.0,0.022997,0.013267,0.00973
28,all_fields,1,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__Document Name_0,23.974904775619507,1.2367498874664307,11477,0,0,11477,0,2636,2636,0.0,0.0,0.024657,0.011477,0.01318
29,all_fields,1,RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement__Document Name_0,17.675734758377075,1.5446133613586426,26014,0,0,26014,0,1857,1857,0.0,0.0,0.035299,0.026014,0.009285
30,all_fields,1,MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,9.742283582687378,1.4891283512115479,5401,0,0,5401,0,1098,1098,0.0,0.0,0.010891,0.005401,0.00549
31,all_fields,1,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3__Document Name_0,5.078049898147583,0.8070478439331055,2792,0,0,2792,0,615,615,0.0,0.0,0.005867,0.002792,0.003075
32,all_fields,1,SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement__Document Name_0,20.568697929382324,1.458282709121704,18671,0,0,18671,0,2153,2153,0.0,0.0,0.029436,0.018671,0.010765
33,all_fields,1,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement__Document Name_0,8.051690340042114,0.9198954105377197,5573,0,0,5573,0,964,964,0.0,0.0,0.010393,0.005573,0.00482
34,all_fields,1,FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT__Document Name_0,12.551357746124268,0.8275878429412842,6499,0,0,6499,0,1442,1442,0.0,0.0,0.013709,0.006499,0.00721
35,all_fields,1,WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT__Document Name_0,14.00468111038208,1.2113251686096191,8491,0,0,8491,0,1596,1596,0.0,0.0,0.016471,0.008491,0.00798
36,all_fields,1,EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement__Document Name_0,10.587714195251465,0.9517393112182617,6157,0,0,6157,0,1078,1078,0.0,0.0,0.011547,0.006157,0.00539
37,all_fields,1,"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT__Document Name_0",30.917224645614624,1.3429629802703857,25352,0,0,25352,0,3362,3362,0.0,0.0,0.042162,0.025352,0.01681
38,all_fields,1,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement__Document Name_0,4.730831623077393,0.8855223655700684,4898,0,0,4898,0,592,592,0.0,0.0,0.007858,0.004898,0.00296
39,all_fields,1,"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT__Document Name_0",21.31846833229065,1.521676778793335,36957,0,0,36957,0,2001,2001,0.0,0.0,0.046962,0.036957,0.010005
40,all_fields,1,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement__Document Name_0,10.74628233909607,1.1720943450927734,6155,0,0,6155,0,1329,1329,0.0,0.0,0.0128,0.006155,0.006645
41,all_fields,1,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement__Document Name_0,14.325937509536743,1.1138496398925781,7095,0,0,7095,0,1649,1649,0.0,0.0,0.01534,0.007095,0.008245
42,all_fields,1,VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT__Document Name_0,33.883119344711304,1.7282843589782715,26132,0,0,26132,0,3080,3080,0.0,0.0,0.041532,0.026132,0.0154
43,all_fields,1,Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT__Document Name_0,5.449438571929932,0.9546222686767578,4763,0,0,4763,0,658,658,0.0,0.0,0.008053,0.004763,0.00329
44,all_fields,1,VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement__Document Name_0,9.116852283477783,0.8804202079772949,5683,0,0,5683,0,979,979,0.0,0.0,0.010578,0.005683,0.004895
45,all_fields,1,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,10.762242555618286,1.7794508934020996,5481,0,0,5481,0,1218,1218,0.0,0.0,0.011571,0.005481,0.00609
46,all_fields,1,"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2__Document Name_0",10.225528478622437,0.9065215587615967,3925,0,0,3925,0,1153,1153,0.0,0.0,0.00969,0.003925,0.005765
47,all_fields,1,DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT__Document Name_0,7.255624771118164,1.738215446472168,3801,0,0,3801,0,779,779,0.0,0.0,0.007696,0.003801,0.003895
48,all_fields,1,WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT - Intellectual Property Rights                 Confidentiality and Non-Use Obligations Agreement__Document Name_0,6.066457509994507,0.7889125347137451,3501,0,0,3501,0,774,774,0.0,0.0,0.007371,0.003501,0.00387
49,all_fields,1,LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT__Document Name_0,8.894898653030396,0.9439458847045898,6510,0,0,6510,0,1121,1121,0.0,0.0,0.012115,0.00651,0.005605
50,all_fields,1,WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT__Document Name_0,21.124818086624146,1.6374876499176025,16417,0,0,16417,0,2085,2085,0.0,0.0,0.026842,0.016417,0.010425
51,all_fields,1,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0,13.459726572036743,1.7345333099365234,8045,0,0,8045,0,1331,1331,0.0,0.0,0.0147,0.008045,0.006655
52,all_fields,1,BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement__Document Name_0,22.068904876708984,1.4744312763214111,27453,0,0,27453,0,2176,2176,0.0,0.0,0.038333,0.027453,0.01088
53,all_fields,1,MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT__Document Name_0,13.671284437179565,1.0895044803619385,7255,0,0,7255,0,1518,1518,0.0,0.0,0.014845,0.007255,0.00759
54,all_fields,1,ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT__Document Name_0,9.032203912734985,0.8705546855926514,5513,0,0,5513,0,983,983,0.0,0.0,0.010428,0.005513,0.004915
55,all_fields,1,RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement__Document Name_0,15.863716125488281,1.194669246673584,13742,0,0,13742,0,1892,1892,0.0,0.0,0.023202,0.013742,0.00946
56,all_fields,1,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT__Document Name_0,23.053226947784424,1.1890385150909424,8630,0,0,8630,0,2513,2513,0.0,0.0,0.021195,0.00863,0.012565
57,all_fields,1,CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement__Document Name_0,7.89901876449585,1.321040391921997,8958,0,0,8958,0,870,870,0.0,0.0,0.013308,0.008958,0.00435
58,all_fields,1,ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT__Document Name_0,13.650249719619751,8.484564781188965,5001,0,0,5001,0,598,598,0.0,0.0,0.007991,0.005001,0.00299
59,all_fields,1,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1__Document Name_0,20.498255729675293,1.2537713050842285,11330,0,0,11330,0,1993,1993,0.0,0.0,0.021295,0.01133,0.009965
60,all_fields,1,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT__Document Name_0,3.5884194374084473,0.9090652465820312,2319,0,0,2319,0,522,522,0.0,0.0,0.004929,0.002319,0.00261
61,all_fields,1,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Document Name_0,15.627204656600952,1.0028703212738037,13554,0,0,13554,0,1683,1683,0.0,0.0,0.021969,0.013554,0.008415
62,all_fields,1,SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT__Document Name_0,18.55763030052185,1.2429957389831543,13667,0,0,13667,0,1975,1975,0.0,0.0,0.023542,0.013667,0.009875
63,all_fields,1,MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT__Document Name_0,12.425008296966553,0.8477988243103027,7215,0,0,7215,0,1319,1319,0.0,0.0,0.01381,0.007215,0.006595
64,all_fields,1,"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT__Document Name_0",16.076112747192383,1.3413078784942627,15156,0,0,15156,0,1753,1753,0.0,0.0,0.023921,0.015156,0.008765
65,all_fields,1,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4__Document Name_0,5.066880464553833,0.8704979419708252,2581,0,0,2581,0,687,687,0.0,0.0,0.006016,0.002581,0.003435
66,all_fields,1,OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2__Document Name_0,5.0284647941589355,0.8635857105255127,2994,0,0,2994,0,582,582,0.0,0.0,0.005904,0.002994,0.00291
67,all_fields,1,"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT__Document Name_0",7.311859607696533,0.7984297275543213,4665,0,0,4665,0,812,812,0.0,0.0,0.008725,0.004665,0.00406
68,all_fields,1,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement__Document Name_0,12.934325695037842,1.2145943641662598,9817,0,0,9817,0,1405,1405,0.0,0.0,0.016842,0.009817,0.007025
69,all_fields,1,BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT__Document Name_0,11.952204704284668,1.316664457321167,13208,0,0,13208,0,1383,1383,0.0,0.0,0.020123,0.013208,0.006915
70,all_fields,1,DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT__Document Name_0,7.075974941253662,0.8399593830108643,4572,0,0,4572,0,765,765,0.0,0.0,0.008397,0.004572,0.003825
71,all_fields,1,"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT__Document Name_0",18.43042755126953,1.1487197875976562,15922,0,0,15922,0,2080,2080,0.0,0.0,0.026322,0.015922,0.0104
72,all_fields,1,WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT__Document Name_0,27.06640911102295,1.2264635562896729,19398,0,0,19398,0,3195,3195,0.0,0.0,0.035373,0.019398,0.015975
73,all_fields,1,"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT__Document Name_0",6.705214023590088,0.7722334861755371,3691,0,0,3691,0,805,805,0.0,0.0,0.007716,0.003691,0.004025
74,all_fields,1,VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement__Document Name_0,6.136353969573975,0.7636091709136963,4497,0,0,4497,0,797,797,0.0,0.0,0.008482,0.004497,0.003985
75,all_fields,1,ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement__Document Name_0,16.79194974899292,1.159043312072754,12241,0,0,12241,0,1951,1951,0.0,0.0,0.021996,0.012241,0.009755
76,all_fields,1,LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1__Document Name_0,15.680329084396362,0.9839808940887451,12765,0,0,12765,0,2134,2134,0.0,0.0,0.023435,0.012765,0.01067
77,all_fields,1,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT__Document Name_0,19.67841672897339,0.9997043609619141,11508,0,0,11508,0,2314,2314,0.0,0.0,0.023078,0.011508,0.01157
78,all_fields,1,MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT__Document Name_0,29.678511142730713,1.872809886932373,38745,0,0,38745,0,3393,3393,0.0,0.0,0.05571,0.038745,0.016965
79,all_fields,1,VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT__Document Name_0,15.316331148147583,1.1991991996765137,14216,0,0,14216,0,1595,1595,0.0,0.0,0.022191,0.014216,0.007975
80,all_fields,1,ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement__Document Name_0,8.44489598274231,0.7475225925445557,5271,0,0,5271,0,1130,1130,0.0,0.0,0.010921,0.005271,0.00565
81,all_fields,1,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT__Document Name_0,4.732353687286377,0.8301882743835449,2888,0,0,2888,0,593,593,0.0,0.0,0.005853,0.002888,0.002965
82,all_fields,1,LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT__Document Name_0,11.893004179000854,0.7485675811767578,10186,0,0,10186,0,1369,1369,0.0,0.0,0.017031,0.010186,0.006845
83,all_fields,1,OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT__Document Name_0,25.186771869659424,1.3963706493377686,36945,0,0,36945,0,2708,2708,0.0,0.0,0.050485,0.036945,0.01354
84,all_fields,1,"XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT__Document Name_0",10.221771001815796,0.7519843578338623,3380,0,0,3380,0,1180,1180,0.0,0.0,0.00928,0.00338,0.0059
85,all_fields,1,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement__Document Name_0,19.65750002861023,1.1444520950317383,12969,0,0,12969,0,2168,2168,0.0,0.0,0.023809,0.012969,0.01084
86,all_fields,1,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement__Document Name_0,7.991686582565308,0.9028732776641846,6350,0,0,6350,0,951,951,0.0,0.0,0.011105,0.00635,0.004755
87,all_fields,1,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2__Document Name_0,5.268549919128418,0.9411027431488037,2740,0,0,2740,0,662,662,0.0,0.0,0.00605,0.00274,0.00331
88,all_fields,1,XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT__Document Name_0,12.54736614227295,1.1395072937011719,13722,0,0,13722,0,1413,1413,0.0,0.0,0.020787,0.013722,0.007065
89,all_fields,1,DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT__Document Name_0,17.044522762298584,1.160731315612793,10598,0,0,10598,0,2020,2020,0.0,0.0,0.020698,0.010598,0.0101
90,all_fields,1,ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement__Document Name_0,15.457910299301147,1.103719711303711,8202,0,0,8202,0,1802,1802,0.0,0.0,0.017212,0.008202,0.00901
91,all_fields,1,FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement__Document Name_0,14.31736135482788,0.7781975269317627,9731,0,0,9731,0,1481,1481,0.0,0.0,0.017136,0.009731,0.007405
92,all_fields,1,SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0,16.36939001083374,0.7679316997528076,11108,0,0,11108,0,1680,1680,0.0,0.0,0.019508,0.011108,0.0084
93,all_fields,1,"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT__Document Name_0",19.3158597946167,0.8837134838104248,9175,0,0,9175,0,1701,1701,0.0,0.0,0.01768,0.009175,0.008505
94,all_fields,1,DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT__Document Name_0,18.778271198272705,1.1254479885101318,7613,0,0,7613,0,2098,2098,0.0,0.0,0.018103,0.007613,0.01049
95,all_fields,1,VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT__Document Name_0,17.687138319015503,1.307990312576294,17256,0,0,17256,0,2027,2027,0.0,0.0,0.027391,0.017256,0.010135
96,all_fields,1,StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement__Document Name_0,30.079857110977173,1.4871509075164795,20442,0,0,20442,0,3487,3487,0.0,0.0,0.037877,0.020442,0.017435
97,all_fields,1,IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT__Document Name_0,15.979693174362183,1.023313283920288,7285,0,0,7285,0,1973,1973,0.0,0.0,0.01715,0.007285,0.009865
98,all_fields,1,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1__Document Name_0,33.633081674575806,1.2468647956848145,36122,0,0,36122,0,3466,3466,0.0,0.0,0.053452,0.036122,0.01733
99,all_fields,1,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,20.294519662857056,1.0709543228149414,12217,0,0,12217,0,2343,2343,0.0,0.0,0.023932,0.012217,0.011715
100,all_fields,1,GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement__Document Name_0,11.18371319770813,1.139726161956787,6358,0,0,6358,0,1384,1384,0.0,0.0,0.013278,0.006358,0.00692
