batch_size,fields_per_call,accuracy,precision,recall,f1,true_positives,false_positives,false_negatives,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,run_id,total_ttft_secs
1,41,0.753003003003003,0.6745124411566913,0.8521665250637214,0.753003003003003,2006,968,348,1594.968899011612,100,1200215,0,0,1200215,0,157338,157338,0.0,0.0,5.3606075,3.0005375,2.3600700000000003,1,123.24178862571716
2,41,0.7606821230120712,0.6928446771378709,0.8432455395072217,0.7606821230120712,1985,880,369,1421.3291614055634,50,1076742,0,0,1076742,0,145967,145967,0.0,0.0,4.88136,2.6918550000000003,2.1895050000000005,1,91.12287616729736
5,41,0.7660935625749701,0.7235649546827795,0.8139337298215803,0.7660935625749701,1916,732,438,1169.0743947029114,20,1002709,0,0,1002709,0,116890,116890,0.0,0.0,4.2601225000000005,2.5067725000000003,1.7533500000000004,1,45.899027824401855
10,41,0.7359866638883099,0.7222903885480573,0.7502124044180118,0.7359866638883099,1766,679,588,945.9347355365753,10,978052,0,0,978052,0,94202,94202,0.0,0.0,3.8581600000000003,2.44513,1.41303,1,33.26436185836792
