batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
71,all_fields,1,"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT__Document Name_0",16.285749435424805,0.8444697856903076,14987,0,0,14987,0,1708,1708,0.0,0.0,0.0630875,0.0374675,0.02562
72,all_fields,1,WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT__Document Name_0,22.7143976688385,0.8861057758331299,18033,0,0,18033,0,2468,2468,0.0,0.0,0.0821025,0.0450825,0.03702
73,all_fields,1,"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT__Document Name_0",9.369702816009521,0.8586840629577637,4015,0,0,4015,0,884,884,0.0,0.0,0.0232975,0.0100375,0.01326
74,all_fields,1,VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement__Document Name_0,5.818207502365112,3.768695116043091,4725,0,0,4725,0,597,597,0.0,0.0,0.0207675,0.0118125,0.008955
75,all_fields,1,ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement__Document Name_0,18.11254358291626,0.8704354763031006,11851,0,0,11851,0,2040,2040,0.0,0.0,0.0602275,0.0296275,0.0306
76,all_fields,1,LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1__Document Name_0,17.27695894241333,1.1612403392791748,12351,0,0,12351,0,1854,1854,0.0,0.0,0.0586875,0.0308775,0.02781
77,all_fields,1,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT__Document Name_0,15.480463981628418,2.0582220554351807,10789,0,0,10789,0,1600,1600,0.0,0.0,0.0509725,0.0269725,0.024
78,all_fields,1,MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT__Document Name_0,41.65795135498047,1.4313230514526367,35700,0,0,35700,0,4167,4167,0.0,0.0,0.151755,0.08925,0.062505
79,all_fields,1,VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT__Document Name_0,13.475966691970825,0.8490335941314697,13196,0,0,13196,0,1699,1699,0.0,0.0,0.058475,0.03299,0.025485
80,all_fields,1,ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement__Document Name_0,10.322481155395508,0.9345543384552002,5480,0,0,5480,0,962,962,0.0,0.0,0.02813,0.0137,0.01443
81,all_fields,1,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT__Document Name_0,6.205425500869751,2.475576162338257,3304,0,0,3304,0,416,416,0.0,0.0,0.0145,0.00826,0.00624
82,all_fields,1,LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT__Document Name_0,15.27175521850586,0.8659064769744873,10127,0,0,10127,0,1795,1795,0.0,0.0,0.0522425,0.0253175,0.026925
83,all_fields,1,OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT__Document Name_0,25.899088144302368,3.518489360809326,34102,0,0,34102,0,2446,2446,0.0,0.0,0.121945,0.085255,0.03669
84,all_fields,1,"XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT__Document Name_0",10.43917965888977,1.1998639106750488,3750,0,0,3750,0,984,984,0.0,0.0,0.024135,0.009375,0.01476
85,all_fields,1,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement__Document Name_0,19.3781316280365,0.9450457096099854,12055,0,0,12055,0,1873,1873,0.0,0.0,0.0582325,0.0301375,0.028095
86,all_fields,1,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement__Document Name_0,9.664104700088501,1.5231096744537354,6319,0,0,6319,0,914,914,0.0,0.0,0.0295075,0.0157975,0.01371
87,all_fields,1,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2__Document Name_0,5.378473997116089,0.7940328121185303,3122,0,0,3122,0,443,443,0.0,0.0,0.01445,0.007805,0.006645
88,all_fields,1,XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT__Document Name_0,11.393129110336304,0.8323755264282227,12987,0,0,12987,0,1114,1114,0.0,0.0,0.0491775,0.0324675,0.01671
89,all_fields,1,DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT__Document Name_0,19.206932306289673,0.9498763084411621,10070,0,0,10070,0,1571,1571,0.0,0.0,0.04874,0.025175,0.023565
90,all_fields,1,ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement__Document Name_0,14.501457214355469,1.5323309898376465,8113,0,0,8113,0,1484,1484,0.0,0.0,0.0425425,0.0202825,0.02226
91,all_fields,1,FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement__Document Name_0,14.3709397315979,0.8475828170776367,9785,0,0,9785,0,1380,1380,0.0,0.0,0.0451625,0.0244625,0.0207
92,all_fields,1,SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0,15.954389572143555,1.6304638385772705,10570,0,0,10570,0,1538,1538,0.0,0.0,0.049495,0.026425,0.02307
93,all_fields,1,"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT__Document Name_0",19.529125213623047,2.25388503074646,9147,0,0,9147,0,1841,1841,0.0,0.0,0.0504825,0.0228675,0.027615
94,all_fields,1,DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT__Document Name_0,16.816974878311157,0.6956939697265625,7694,0,0,7694,0,1612,1612,0.0,0.0,0.043415,0.019235,0.02418
95,all_fields,1,VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT__Document Name_0,18.884530067443848,1.4821898937225342,15071,0,0,15071,0,1835,1835,0.0,0.0,0.0652025,0.0376775,0.027525
96,all_fields,1,StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement__Document Name_0,26.516465425491333,0.9938368797302246,18831,0,0,18831,0,2664,2664,0.0,0.0,0.0870375,0.0470775,0.03996
97,all_fields,1,IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT__Document Name_0,17.589479684829712,0.7547457218170166,7112,0,0,7112,0,1800,1800,0.0,0.0,0.04478,0.01778,0.027
98,all_fields,1,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1__Document Name_0,25.905421495437622,1.3991975784301758,34422,0,0,34422,0,3016,3016,0.0,0.0,0.131295,0.086055,0.04524
99,all_fields,1,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,23.908016681671143,1.3968639373779297,11750,0,0,11750,0,2396,2396,0.0,0.0,0.065315,0.029375,0.03594
100,all_fields,1,GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement__Document Name_0,11.38126277923584,1.0691370964050293,6451,0,0,6451,0,1095,1095,0.0,0.0,0.0325525,0.0161275,0.016425
