batch_size,accuracy,total_reviews,correct,true_positives,false_positives,true_negatives,false_negatives,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,0.91,100,91,56,2,35,7,126.37722277641296,100,34206,0,0,34206,0,2004,2004,0.0,0.0,0.023115000000000004,0.017103,0.006012000000000007
2,0.88,100,88,54,3,34,9,77.52987217903137,50,19581,0,0,19581,0,1854,1854,0.0,0.0,0.015352500000000005,0.0097905,0.0055619999999999975
5,0.89,100,89,55,3,34,8,28.262250900268555,20,10883,0,0,10883,0,1764,1764,0.0,0.0,0.010733500000000002,0.005441500000000002,0.005292
10,0.89,100,89,55,3,34,8,17.984251737594604,10,7960,0,0,7960,0,1734,1734,0.0,0.0,0.009182000000000001,0.00398,0.005202
20,0.89,100,89,56,4,33,7,12.594419956207275,5,6543,0,0,6543,0,1719,1719,0.0,0.0,0.008428499999999998,0.0032714999999999997,0.005157
25,0.9,100,90,56,3,34,7,11.658966302871704,4,6254,0,0,6254,0,1791,1791,0.0,0.0,0.0085,0.0031269999999999996,0.005372999999999999
50,0.9,100,90,55,2,35,8,9.884329080581665,2,5686,0,0,5686,0,1710,1710,0.0,0.0,0.007973000000000001,0.002843,0.00513
100,0.92,100,92,57,2,35,6,8.791873216629028,1,5403,0,0,5403,0,1707,1707,0.0,0.0,0.0078225,0.0027015,0.005121
