batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,10,1.669302225112915,1.094238519668579,3343,0,0,3343,0,216,216,0.0,0.0,0.0023195,0.0016715,0.000648,0
2,10,1.733414888381958,1.318199872970581,1820,0,0,1820,0,183,183,0.0,0.0,0.001459,0.00091,0.000549,0
3,10,1.675117015838623,1.1431727409362793,2256,0,0,2256,0,218,218,0.0,0.0,0.001782,0.001128,0.000654,0
4,10,1.8746674060821533,1.3312675952911377,1949,0,0,1949,0,214,214,0.0,0.0,0.0016165,0.0009745,0.000642,0
5,10,1.6945469379425049,1.1836397647857666,2644,0,0,2644,0,219,219,0.0,0.0,0.001979,0.001322,0.000657,0
6,10,2.4502511024475098,2.3915483951568604,2478,0,0,2478,0,215,215,0.0,0.0,0.001884,0.001239,0.000645,0
7,10,1.645073413848877,1.1120169162750244,2398,0,0,2398,0,216,216,0.0,0.0,0.001847,0.001199,0.000648,0
8,10,1.7645847797393799,1.2385563850402832,2794,0,0,2794,0,219,219,0.0,0.0,0.002054,0.001397,0.000657,1
9,10,1.9244418144226074,1.3620121479034424,2198,0,0,2198,0,217,217,0.0,0.0,0.00175,0.001099,0.000651,0
10,10,2.731722116470337,2.2152695655822754,2092,0,0,2092,0,213,213,0.0,0.0,0.001685,0.001046,0.000639,0
