batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,1,1.9976849555969238,1.951345682144165,425,0,0,425,0,21,21,0.0,0.0,0.0002755,0.0002125,6.3e-05,0
2,1,0.9263427257537842,0.8128960132598877,555,0,0,555,0,22,22,0.0,0.0,0.0003435,0.0002775,6.6e-05,0
3,1,1.2971975803375244,0.9891085624694824,460,0,0,460,0,20,20,0.0,0.0,0.00029,0.00023,6e-05,0
4,1,0.9158580303192139,0.8661584854125977,309,0,0,309,0,22,22,0.0,0.0,0.0002205,0.0001545,6.6e-05,0
5,1,1.1896586418151855,1.1286609172821045,461,0,0,461,0,22,22,0.0,0.0,0.0002965,0.0002305,6.6e-05,0
6,1,0.9133634567260742,0.8572037220001221,460,0,0,460,0,20,20,0.0,0.0,0.00029,0.00023,6e-05,0
7,1,0.9649829864501953,0.922163724899292,487,0,0,487,0,22,22,0.0,0.0,0.0003095,0.0002435,6.6e-05,0
8,1,0.9253947734832764,0.8746013641357422,414,0,0,414,0,22,22,0.0,0.0,0.000273,0.000207,6.6e-05,0
9,1,0.9139621257781982,0.8772571086883545,431,0,0,431,0,20,20,0.0,0.0,0.0002755,0.0002155,6e-05,0
10,1,0.8628826141357422,0.8288946151733398,1850,0,0,1850,0,25,25,0.0,0.0,0.001,0.000925,7.5e-05,0
11,1,0.9988934993743896,0.9465153217315674,420,0,0,420,0,20,20,0.0,0.0,0.00027,0.00021,6e-05,0
12,1,1.0158238410949707,0.9683890342712402,475,0,0,475,0,21,21,0.0,0.0,0.0003005,0.0002375,6.3e-05,0
13,1,0.9427351951599121,0.8919699192047119,421,0,0,421,0,20,20,0.0,0.0,0.0002705,0.0002105,6e-05,0
14,1,0.9019546508789062,0.871973991394043,499,0,0,499,0,22,22,0.0,0.0,0.0003155,0.0002495,6.6e-05,0
15,1,1.0130786895751953,0.9506826400756836,546,0,0,546,0,20,20,0.0,0.0,0.000333,0.000273,6e-05,0
16,1,0.9860451221466064,0.9365861415863037,326,0,0,326,0,20,20,0.0,0.0,0.000223,0.000163,6e-05,0
17,1,0.9713282585144043,0.91717529296875,420,0,0,420,0,21,21,0.0,0.0,0.000273,0.00021,6.3e-05,0
18,1,1.1399264335632324,1.001694917678833,442,0,0,442,0,22,22,0.0,0.0,0.000287,0.000221,6.6e-05,0
19,1,0.9515483379364014,0.8994038105010986,471,0,0,471,0,22,22,0.0,0.0,0.0003015,0.0002355,6.6e-05,0
20,1,1.0249590873718262,0.9705045223236084,309,0,0,309,0,22,22,0.0,0.0,0.0002205,0.0001545,6.6e-05,0
21,1,0.9242291450500488,0.8753538131713867,385,0,0,385,0,20,20,0.0,0.0,0.0002525,0.0001925,6e-05,0
22,1,0.8591582775115967,0.8095083236694336,514,0,0,514,0,21,21,0.0,0.0,0.00032,0.000257,6.3e-05,0
23,1,0.9258284568786621,0.8836138248443604,495,0,0,495,0,22,22,0.0,0.0,0.0003135,0.0002475,6.6e-05,0
24,1,0.9513015747070312,0.9291870594024658,467,0,0,467,0,22,22,0.0,0.0,0.0002995,0.0002335,6.6e-05,0
25,1,0.9237890243530273,0.897122859954834,407,0,0,407,0,21,21,0.0,0.0,0.0002665,0.0002035,6.3e-05,0
26,1,1.1773064136505127,1.119567632675171,457,0,0,457,0,22,22,0.0,0.0,0.0002945,0.0002285,6.6e-05,0
27,1,1.0593466758728027,1.0093426704406738,756,0,0,756,0,22,22,0.0,0.0,0.000444,0.000378,6.6e-05,0
28,1,1.028275489807129,0.9716167449951172,309,0,0,309,0,22,22,0.0,0.0,0.0002205,0.0001545,6.6e-05,0
29,1,0.956932783126831,0.9102816581726074,470,0,0,470,0,21,21,0.0,0.0,0.000298,0.000235,6.3e-05,0
30,1,0.9674553871154785,0.9167990684509277,505,0,0,505,0,22,22,0.0,0.0,0.0003185,0.0002525,6.6e-05,0
31,1,0.960015058517456,0.9048724174499512,429,0,0,429,0,19,19,0.0,0.0,0.0002715,0.0002145,5.7e-05,0
32,1,0.9083306789398193,0.8578317165374756,511,0,0,511,0,22,22,0.0,0.0,0.0003215,0.0002555,6.6e-05,0
33,1,0.8919558525085449,0.8415839672088623,587,0,0,587,0,22,22,0.0,0.0,0.0003595,0.0002935,6.6e-05,0
34,1,0.8760647773742676,0.8416838645935059,473,0,0,473,0,20,20,0.0,0.0,0.0002965,0.0002365,6e-05,0
35,1,1.0516574382781982,0.9975242614746094,548,0,0,548,0,21,21,0.0,0.0,0.000337,0.000274,6.3e-05,0
36,1,0.9795351028442383,0.9325933456420898,389,0,0,389,0,20,20,0.0,0.0,0.0002545,0.0001945,6e-05,0
37,1,0.8657758235931396,0.8203887939453125,309,0,0,309,0,22,22,0.0,0.0,0.0002205,0.0001545,6.6e-05,0
38,1,0.8538703918457031,0.803339958190918,309,0,0,309,0,22,22,0.0,0.0,0.0002205,0.0001545,6.6e-05,0
39,1,0.9137177467346191,0.8644988536834717,594,0,0,594,0,21,21,0.0,0.0,0.00036,0.000297,6.3e-05,0
40,1,1.0521156787872314,0.9995653629302979,309,0,0,309,0,22,22,0.0,0.0,0.0002205,0.0001545,6.6e-05,0
41,1,0.8974039554595947,0.8537626266479492,491,0,0,491,0,22,22,0.0,0.0,0.0003115,0.0002455,6.6e-05,0
42,1,1.2676663398742676,1.2191359996795654,545,0,0,545,0,22,22,0.0,0.0,0.0003385,0.0002725,6.6e-05,0
43,1,1.0350000858306885,0.8942141532897949,568,0,0,568,0,22,22,0.0,0.0,0.00035,0.000284,6.6e-05,0
44,1,0.9464800357818604,0.9215805530548096,514,0,0,514,0,22,22,0.0,0.0,0.000323,0.000257,6.6e-05,0
45,1,0.878847599029541,0.8541595935821533,564,0,0,564,0,21,21,0.0,0.0,0.000345,0.000282,6.3e-05,0
46,1,1.1477806568145752,1.1098625659942627,526,0,0,526,0,22,22,0.0,0.0,0.000329,0.000263,6.6e-05,0
47,1,1.1072063446044922,1.0564701557159424,441,0,0,441,0,21,21,0.0,0.0,0.0002835,0.0002205,6.3e-05,0
48,1,0.9855585098266602,0.9366519451141357,503,0,0,503,0,21,21,0.0,0.0,0.0003145,0.0002515,6.3e-05,0
49,1,1.1020972728729248,1.0554795265197754,309,0,0,309,0,22,22,0.0,0.0,0.0002205,0.0001545,6.6e-05,0
50,1,0.9435558319091797,0.886394739151001,692,0,0,692,0,21,21,0.0,0.0,0.000409,0.000346,6.3e-05,0
51,1,1.029371976852417,0.9924004077911377,506,0,0,506,0,20,20,0.0,0.0,0.000313,0.000253,6e-05,0
52,1,0.9348657131195068,0.8707735538482666,609,0,0,609,0,22,22,0.0,0.0,0.0003705,0.0003045,6.6e-05,0
53,1,0.8072338104248047,0.7589547634124756,420,0,0,420,0,20,20,0.0,0.0,0.00027,0.00021,6e-05,0
54,1,1.0405611991882324,1.0029566287994385,309,0,0,309,0,22,22,0.0,0.0,0.0002205,0.0001545,6.6e-05,0
55,1,1.0554440021514893,1.0231304168701172,309,0,0,309,0,22,22,0.0,0.0,0.0002205,0.0001545,6.6e-05,0
56,1,1.086164951324463,0.9617152214050293,538,0,0,538,0,22,22,0.0,0.0,0.000335,0.000269,6.6e-05,0
57,1,1.7182154655456543,1.6727869510650635,710,0,0,710,0,21,21,0.0,0.0,0.000418,0.000355,6.3e-05,0
58,1,1.1301229000091553,1.079061508178711,558,0,0,558,0,22,22,0.0,0.0,0.000345,0.000279,6.6e-05,0
59,1,1.2053134441375732,1.1492550373077393,442,0,0,442,0,20,20,0.0,0.0,0.000281,0.000221,6e-05,0
60,1,0.8266117572784424,0.7801833152770996,586,0,0,586,0,21,21,0.0,0.0,0.000356,0.000293,6.3e-05,0
61,1,0.9774487018585205,0.9282224178314209,504,0,0,504,0,19,19,0.0,0.0,0.000309,0.000252,5.7e-05,0
62,1,0.9532113075256348,0.8875956535339355,530,0,0,530,0,22,22,0.0,0.0,0.000331,0.000265,6.6e-05,0
63,1,0.9233930110931396,0.8733742237091064,378,0,0,378,0,20,20,0.0,0.0,0.000249,0.000189,6e-05,0
64,1,0.9215826988220215,0.8899326324462891,461,0,0,461,0,21,21,0.0,0.0,0.0002935,0.0002305,6.3e-05,0
65,1,0.9626865386962891,0.9079184532165527,360,0,0,360,0,22,22,0.0,0.0,0.000246,0.00018,6.6e-05,0
66,1,0.8948554992675781,0.8298780918121338,700,0,0,700,0,22,22,0.0,0.0,0.000416,0.00035,6.6e-05,0
