batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,20,3.0634329319000244,1.5133626461029053,4892,0,0,4892,0,426,426,0.0,0.0,0.003724,0.002446,0.001278,0
2,20,2.7750439643859863,1.2585487365722656,3934,0,0,3934,0,429,429,0.0,0.0,0.003254,0.001967,0.001287,0
3,20,2.875807762145996,1.383439540863037,4851,0,0,4851,0,431,431,0.0,0.0,0.0037185,0.0024255,0.001293,0
4,20,2.663712978363037,1.2151360511779785,4921,0,0,4921,0,432,432,0.0,0.0,0.0037565,0.0024605,0.001296,1
5,20,2.6224379539489746,1.1855838298797607,4019,0,0,4019,0,427,427,0.0,0.0,0.0032905,0.0020095,0.001281,0
