batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,25,3.6075971126556396,1.8482489585876465,1645,0,0,1645,0,405,405,0.0,0.0,0.00367,0.001645,0.002025,16
2,25,3.4185872077941895,1.6182749271392822,1782,0,0,1782,0,407,407,0.0,0.0,0.003817,0.001782,0.002035,14
3,25,3.689107894897461,2.1921041011810303,1628,0,0,1628,0,404,404,0.0,0.0,0.003648,0.001628,0.00202,16
4,25,3.700240135192871,1.849816083908081,1776,0,0,1776,0,404,404,0.0,0.0,0.003796,0.001776,0.00202,10
