batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,10,2.260159969329834,1.510071039199829,969,0,0,969,0,167,167,0.0,0.0,0.001804,0.000969,0.000835,6
2,10,1.8242900371551514,1.3850231170654297,885,0,0,885,0,166,166,0.0,0.0,0.001715,0.000885,0.00083,6
3,10,1.5642759799957275,1.2944509983062744,970,0,0,970,0,167,167,0.0,0.0,0.001805,0.00097,0.000835,5
4,10,1.7224750518798828,1.2544169425964355,978,0,0,978,0,168,168,0.0,0.0,0.001818,0.000978,0.00084,6
5,10,1.7382137775421143,1.1316449642181396,1099,0,0,1099,0,168,168,0.0,0.0,0.001939,0.001099,0.00084,8
6,10,1.8282439708709717,1.4726920127868652,987,0,0,987,0,167,167,0.0,0.0,0.001822,0.000987,0.000835,6
7,10,1.7862558364868164,1.251999855041504,909,0,0,909,0,166,166,0.0,0.0,0.001739,0.000909,0.00083,7
8,10,1.8766310214996338,1.2209289073944092,950,0,0,950,0,167,167,0.0,0.0,0.001785,0.00095,0.000835,6
9,10,3.08327579498291,2.1136720180511475,1129,0,0,1129,0,167,167,0.0,0.0,0.001964,0.001129,0.000835,3
10,10,2.0947818756103516,1.5803189277648926,905,0,0,905,0,165,165,0.0,0.0,0.00173,0.000905,0.000825,5
