batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,1,2.9761548042297363,2.8055663108825684,537,0,0,537,0,24,24,0.0,0.0,0.000657,0.000537,0.00012,0
2,1,2.5287837982177734,2.420543909072876,536,0,0,536,0,24,24,0.0,0.0,0.000656,0.000536,0.00012,0
3,1,1.814382791519165,1.50885009765625,525,0,0,525,0,24,24,0.0,0.0,0.000645,0.000525,0.00012,1
4,1,1.7874281406402588,1.6810450553894043,573,0,0,573,0,24,24,0.0,0.0,0.000693,0.000573,0.00012,0
5,1,1.472888708114624,1.226430892944336,524,0,0,524,0,24,24,0.0,0.0,0.000644,0.000524,0.00012,0
6,1,1.6902530193328857,1.649864912033081,531,0,0,531,0,23,23,0.0,0.0,0.000646,0.000531,0.000115,1
7,1,1.9851160049438477,1.8083200454711914,547,0,0,547,0,24,24,0.0,0.0,0.000667,0.000547,0.00012,0
8,1,1.3506038188934326,1.2777740955352783,536,0,0,536,0,24,24,0.0,0.0,0.000656,0.000536,0.00012,1
9,1,4.060848951339722,4.058465957641602,548,0,0,548,0,24,24,0.0,0.0,0.000668,0.000548,0.00012,1
10,1,5.49444580078125,5.4911699295043945,540,0,0,540,0,24,24,0.0,0.0,0.00066,0.00054,0.00012,1
11,1,3.1960701942443848,3.1928117275238037,527,0,0,527,0,24,24,0.0,0.0,0.000647,0.000527,0.00012,0
12,1,1.8283348083496094,1.813046932220459,547,0,0,547,0,24,24,0.0,0.0,0.000667,0.000547,0.00012,1
13,1,2.0228710174560547,1.9156641960144043,513,0,0,513,0,23,23,0.0,0.0,0.000628,0.000513,0.000115,0
14,1,3.0530009269714355,2.8502769470214844,525,0,0,525,0,24,24,0.0,0.0,0.000645,0.000525,0.00012,0
15,1,2.082098960876465,2.033592700958252,525,0,0,525,0,24,24,0.0,0.0,0.000645,0.000525,0.00012,1
16,1,1.7982289791107178,1.5117390155792236,512,0,0,512,0,23,23,0.0,0.0,0.000627,0.000512,0.000115,0
17,1,1.840644121170044,1.6661744117736816,537,0,0,537,0,24,24,0.0,0.0,0.000657,0.000537,0.00012,1
18,1,1.813621997833252,1.5739200115203857,534,0,0,534,0,24,24,0.0,0.0,0.000654,0.000534,0.00012,1
19,1,1.5156102180480957,1.3246800899505615,516,0,0,516,0,24,24,0.0,0.0,0.000636,0.000516,0.00012,1
20,1,1.388096809387207,1.1876468658447266,561,0,0,561,0,24,24,0.0,0.0,0.000681,0.000561,0.00012,1
21,1,2.610079050064087,2.396491050720215,542,0,0,542,0,24,24,0.0,0.0,0.000662,0.000542,0.00012,1
