batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,2,1.540273904800415,1.329214096069336,578,0,0,578,0,40,40,0.0,0.0,0.000778,0.000578,0.0002,0
2,2,1.2630150318145752,1.1153349876403809,600,0,0,600,0,40,40,0.0,0.0,0.0008,0.0006,0.0002,1
3,2,1.1837310791015625,1.0181219577789307,564,0,0,564,0,39,39,0.0,0.0,0.000759,0.000564,0.000195,1
4,2,1.0596160888671875,1.0026021003723145,595,0,0,595,0,40,40,0.0,0.0,0.000795,0.000595,0.0002,1
5,2,1.3033678531646729,1.1378319263458252,601,0,0,601,0,40,40,0.0,0.0,0.000801,0.000601,0.0002,2
6,2,1.1072909832000732,0.9142651557922363,584,0,0,584,0,40,40,0.0,0.0,0.000784,0.000584,0.0002,1
7,2,1.0971288681030273,0.9179577827453613,547,0,0,547,0,39,39,0.0,0.0,0.000742,0.000547,0.000195,0
8,2,1.3700931072235107,1.228492021560669,546,0,0,546,0,39,39,0.0,0.0,0.000741,0.000546,0.000195,1
9,2,2.1323821544647217,1.9596099853515625,585,0,0,585,0,40,40,0.0,0.0,0.000785,0.000585,0.0002,2
10,2,1.6534342765808105,1.490196943283081,581,0,0,581,0,40,40,0.0,0.0,0.000781,0.000581,0.0002,2
11,2,1.129626989364624,1.0635552406311035,599,0,0,599,0,40,40,0.0,0.0,0.000799,0.000599,0.0002,1
12,2,1.5818467140197754,1.3886451721191406,599,0,0,599,0,40,40,0.0,0.0,0.000799,0.000599,0.0002,2
13,2,1.1459040641784668,0.9996299743652344,595,0,0,595,0,40,40,0.0,0.0,0.000795,0.000595,0.0002,1
14,2,1.775393009185791,1.6427850723266602,576,0,0,576,0,39,39,0.0,0.0,0.000771,0.000576,0.000195,0
15,2,1.2701330184936523,1.147770881652832,568,0,0,568,0,40,40,0.0,0.0,0.000768,0.000568,0.0002,0
16,2,1.4998960494995117,1.3709948062896729,569,0,0,569,0,40,40,0.0,0.0,0.000769,0.000569,0.0002,1
17,2,1.1164422035217285,0.92411208152771,589,0,0,589,0,40,40,0.0,0.0,0.000789,0.000589,0.0002,1
18,2,1.4260239601135254,1.2933180332183838,633,0,0,633,0,40,40,0.0,0.0,0.000833,0.000633,0.0002,1
19,2,1.1391229629516602,1.0097990036010742,577,0,0,577,0,40,40,0.0,0.0,0.000777,0.000577,0.0002,2
