batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,25,2.467493772506714,0.986504077911377,1368,0,0,1368,0,365,365,0.0,0.0,0.001779,0.000684,0.001095,11
2,25,2.664889097213745,1.0767769813537598,1319,0,0,1319,0,368,368,0.0,0.0,0.0017635,0.0006595,0.001104,10
3,25,2.6290459632873535,1.0934169292449951,1228,0,0,1228,0,367,367,0.0,0.0,0.001715,0.000614,0.001101,10
4,25,2.5259859561920166,0.9667518138885498,1314,0,0,1314,0,371,371,0.0,0.0,0.00177,0.000657,0.001113,10
