batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,5,1.3939158916473389,1.1587061882019043,523,0,0,523,0,76,76,0.0,0.0,0.0004895,0.0002615,0.000228,3
2,5,1.1945271492004395,0.9774589538574219,520,0,0,520,0,75,75,0.0,0.0,0.000485,0.00026,0.000225,2
3,5,1.3359479904174805,1.0594737529754639,537,0,0,537,0,75,75,0.0,0.0,0.0004935,0.0002685,0.000225,2
4,5,1.3043899536132812,1.1047000885009766,526,0,0,526,0,75,75,0.0,0.0,0.000488,0.000263,0.000225,2
5,5,1.3918490409851074,1.1384711265563965,451,0,0,451,0,76,76,0.0,0.0,0.0004535,0.0002255,0.000228,2
6,5,1.4102957248687744,1.1596801280975342,475,0,0,475,0,77,77,0.0,0.0,0.0004685,0.0002375,0.000231,3
7,5,4.512634754180908,4.24908709526062,518,0,0,518,0,75,75,0.0,0.0,0.000484,0.000259,0.000225,2
8,5,1.17183518409729,0.9069890975952148,501,0,0,501,0,75,75,0.0,0.0,0.0004755,0.0002505,0.000225,2
9,5,1.2264220714569092,1.0124380588531494,504,0,0,504,0,76,76,0.0,0.0,0.00048,0.000252,0.000228,2
10,5,1.2296478748321533,1.0117778778076172,507,0,0,507,0,77,77,0.0,0.0,0.0004845,0.0002535,0.000231,1
11,5,1.2429709434509277,1.0050179958343506,504,0,0,504,0,76,76,0.0,0.0,0.00048,0.000252,0.000228,1
12,5,1.411283016204834,1.1739559173583984,476,0,0,476,0,77,77,0.0,0.0,0.000469,0.000238,0.000231,2
13,5,1.5057270526885986,1.2056849002838135,511,0,0,511,0,75,75,0.0,0.0,0.0004805,0.0002555,0.000225,2
14,5,1.3418478965759277,1.1293411254882812,468,0,0,468,0,75,75,0.0,0.0,0.000459,0.000234,0.000225,2
15,5,1.2713911533355713,1.1164350509643555,462,0,0,462,0,76,76,0.0,0.0,0.000459,0.000231,0.000228,3
16,5,1.3082208633422852,1.0698981285095215,516,0,0,516,0,77,77,0.0,0.0,0.000489,0.000258,0.000231,3
17,5,1.361217737197876,1.193268060684204,480,0,0,480,0,77,77,0.0,0.0,0.000471,0.00024,0.000231,1
18,5,1.2545828819274902,1.0512008666992188,478,0,0,478,0,77,77,0.0,0.0,0.00047,0.000239,0.000231,2
19,5,1.5257961750030518,1.1130859851837158,496,0,0,496,0,77,77,0.0,0.0,0.000479,0.000248,0.000231,2
20,5,1.3514831066131592,1.1174359321594238,537,0,0,537,0,75,75,0.0,0.0,0.0004935,0.0002685,0.000225,3
