batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,10,2.4604969024658203,1.210364818572998,971,0,0,971,0,148,148,0.0,0.0,0.005133,0.002913,0.00222,4
2,10,2.6880149841308594,1.4290080070495605,885,0,0,885,0,147,147,0.0,0.0,0.00486,0.002655,0.002205,6
3,10,2.4338300228118896,1.2773668766021729,967,0,0,967,0,148,148,0.0,0.0,0.005121,0.002901,0.00222,4
4,10,2.6144158840179443,1.4002699851989746,979,0,0,979,0,149,149,0.0,0.0,0.005172,0.002937,0.002235,4
5,10,5.869527101516724,1.3379909992218018,1097,0,0,1097,0,149,149,0.0,0.0,0.005526,0.003291,0.002235,6
6,10,2.536930799484253,1.3080167770385742,986,0,0,986,0,148,148,0.0,0.0,0.005178,0.002958,0.00222,4
7,10,2.6021249294281006,1.753296136856079,911,0,0,911,0,147,147,0.0,0.0,0.004938,0.002733,0.002205,7
8,10,2.5497238636016846,1.2559998035430908,951,0,0,951,0,148,148,0.0,0.0,0.005073,0.002853,0.00222,5
9,10,3.1802430152893066,1.7462880611419678,1130,0,0,1130,0,148,148,0.0,0.0,0.00561,0.00339,0.00222,3
10,10,2.540030002593994,1.3429348468780518,904,0,0,904,0,146,146,0.0,0.0,0.004902,0.002712,0.00219,5
