batch_size,accuracy,total_reviews,correct,true_positives,false_positives,true_negatives,false_negatives,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,0.85,100,85,49,1,36,14,328.9370062351227,100,54051,0,0,54051,0,2290,2290,0.0,0.0,0.19650300000000004,0.162153,0.03435000000000004
2,0.88,100,88,52,1,36,11,139.28329467773438,50,29448,0,0,29448,0,1834,1834,0.0,0.0,0.115854,0.08834399999999998,0.027509999999999993
5,0.88,100,88,51,0,37,12,47.78723168373108,20,14683,0,0,14683,0,1568,1568,0.0,0.0,0.067569,0.04404900000000001,0.023520000000000003
10,0.85,100,85,48,0,37,15,29.475337505340576,10,9781,0,0,9781,0,1478,1478,0.0,0.0,0.051513,0.029343,0.022170000000000002
20,0.85,100,85,48,0,37,15,18.920477867126465,5,7333,0,0,7333,0,1433,1433,0.0,0.0,0.043494000000000005,0.021999,0.021495
25,0.84,100,84,47,0,37,16,17.78142213821411,4,6835,0,0,6835,0,1424,1424,0.0,0.0,0.041865,0.020505000000000002,0.02136
50,0.83,100,83,46,0,37,17,14.97672414779663,2,5847,0,0,5847,0,1406,1406,0.0,0.0,0.038631,0.017541,0.021089999999999998
100,0.82,100,82,45,0,37,18,15.331764936447144,1,5356,0,0,5356,0,1397,1397,0.0,0.0,0.037023,0.016068,0.020955
