batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
51,1,2.27445387840271,2.1062822341918945,726,0,0,726,0,24,24,0.0,0.0,0.000846,0.000726,0.00012,0
52,1,1.5813994407653809,1.45253324508667,832,0,0,832,0,24,24,0.0,0.0,0.000952,0.000832,0.00012,0
53,1,1.133871078491211,0.9790506362915039,648,0,0,648,0,24,24,0.0,0.0,0.000768,0.000648,0.00012,0
54,1,1.0771408081054688,0.8819105625152588,519,0,0,519,0,24,24,0.0,0.0,0.000639,0.000519,0.00012,0
55,1,1.3695073127746582,1.2189874649047852,519,0,0,519,0,24,24,0.0,0.0,0.000639,0.000519,0.00012,0
56,1,1.2874841690063477,0.8406765460968018,760,0,0,760,0,24,24,0.0,0.0,0.00088,0.00076,0.00012,0
57,1,1.213376522064209,0.9587228298187256,1016,0,0,1016,0,24,24,0.0,0.0,0.001136,0.001016,0.00012,0
58,1,1.3004519939422607,1.134883165359497,784,0,0,784,0,24,24,0.0,0.0,0.000904,0.000784,0.00012,0
59,1,1.3496520519256592,1.224353551864624,667,0,0,667,0,24,24,0.0,0.0,0.000787,0.000667,0.00012,0
60,1,0.9782214164733887,0.8407721519470215,833,0,0,833,0,24,24,0.0,0.0,0.000953,0.000833,0.00012,0
61,1,0.8786413669586182,0.7317314147949219,725,0,0,725,0,23,23,0.0,0.0,0.00084,0.000725,0.000115,0
62,1,0.9912140369415283,0.8411056995391846,756,0,0,756,0,24,24,0.0,0.0,0.000876,0.000756,0.00012,0
63,1,1.254000186920166,1.0488450527191162,593,0,0,593,0,24,24,0.0,0.0,0.000713,0.000593,0.00012,0
64,1,1.1898322105407715,1.019669532775879,684,0,0,684,0,24,24,0.0,0.0,0.000804,0.000684,0.00012,0
