batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,10,1.909947156906128,0.8833177089691162,3550,0,0,3550,0,168,168,0.0,0.0,0.00439,0.00355,0.00084,0
2,10,2.03385066986084,1.0905795097351074,2147,0,0,2147,0,168,168,0.0,0.0,0.002987,0.002147,0.00084,0
3,10,2.276397705078125,1.3295564651489258,2588,0,0,2588,0,168,168,0.0,0.0,0.003428,0.002588,0.00084,0
4,10,1.9752228260040283,1.166212797164917,2206,0,0,2206,0,167,167,0.0,0.0,0.003041,0.002206,0.000835,0
5,10,2.14866304397583,1.1581408977508545,3032,0,0,3032,0,168,168,0.0,0.0,0.003872,0.003032,0.00084,0
6,10,2.2883236408233643,1.3085927963256836,2849,0,0,2849,0,168,168,0.0,0.0,0.003689,0.002849,0.00084,0
7,10,1.749389886856079,0.8331053256988525,2703,0,0,2703,0,167,167,0.0,0.0,0.003538,0.002703,0.000835,0
8,10,1.8550269603729248,0.9515683650970459,3306,0,0,3306,0,168,168,0.0,0.0,0.004146,0.003306,0.00084,1
9,10,1.9117441177368164,0.955852746963501,2496,0,0,2496,0,167,167,0.0,0.0,0.003331,0.002496,0.000835,0
10,10,1.916736125946045,1.6948621273040771,2387,0,0,2387,0,170,170,0.0,0.0,0.003237,0.002387,0.00085,0
