batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,2,2.5137104988098145,2.2751760482788086,939,0,0,939,0,40,40,0.0,0.0,0.001139,0.000939,0.0002,0
2,2,0.9552030563354492,0.7845132350921631,710,0,0,710,0,40,40,0.0,0.0,0.00091,0.00071,0.0002,0
3,2,1.1068756580352783,0.9389631748199463,863,0,0,863,0,40,40,0.0,0.0,0.001063,0.000863,0.0002,0
4,2,1.2312114238739014,1.0508754253387451,844,0,0,844,0,40,40,0.0,0.0,0.001044,0.000844,0.0002,0
5,2,1.1837334632873535,0.8951833248138428,2174,0,0,2174,0,40,40,0.0,0.0,0.002374,0.002174,0.0002,0
6,2,1.1025078296661377,0.9583630561828613,859,0,0,859,0,40,40,0.0,0.0,0.001059,0.000859,0.0002,0
7,2,1.2700445652008057,1.1382572650909424,877,0,0,877,0,40,40,0.0,0.0,0.001077,0.000877,0.0002,0
8,2,1.1006944179534912,0.9352774620056152,836,0,0,836,0,40,40,0.0,0.0,0.001036,0.000836,0.0002,0
9,2,1.1180520057678223,0.9732451438903809,822,0,0,822,0,40,40,0.0,0.0,0.001022,0.000822,0.0002,0
10,2,1.2155423164367676,1.0906550884246826,733,0,0,733,0,40,40,0.0,0.0,0.000933,0.000733,0.0002,0
11,2,1.3166742324829102,1.1536552906036377,849,0,0,849,0,40,40,0.0,0.0,0.001049,0.000849,0.0002,0
12,2,1.4949009418487549,1.3198273181915283,912,0,0,912,0,40,40,0.0,0.0,0.001112,0.000912,0.0002,0
13,2,1.5162575244903564,1.3898043632507324,826,0,0,826,0,40,40,0.0,0.0,0.001026,0.000826,0.0002,0
14,2,1.1971020698547363,0.881972074508667,1060,0,0,1060,0,40,40,0.0,0.0,0.00126,0.00106,0.0002,0
15,2,1.1064190864562988,0.9852910041809082,921,0,0,921,0,40,40,0.0,0.0,0.001121,0.000921,0.0002,0
16,2,1.3472199440002441,1.1664531230926514,892,0,0,892,0,39,39,0.0,0.0,0.001087,0.000892,0.000195,0
17,2,1.5570719242095947,1.2660720348358154,1026,0,0,1026,0,40,40,0.0,0.0,0.001226,0.001026,0.0002,0
18,2,1.4687342643737793,1.298872470855713,881,0,0,881,0,40,40,0.0,0.0,0.001081,0.000881,0.0002,0
19,2,1.6008374691009521,1.4009678363800049,543,0,0,543,0,40,40,0.0,0.0,0.000743,0.000543,0.0002,0
