batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,2,1.186119556427002,0.7945985794067383,322,0,0,322,0,37,37,0.0,0.0,0.00136,0.000805,0.000555,1
2,2,1.1111586093902588,0.6183762550354004,351,0,0,351,0,37,37,0.0,0.0,0.0014325,0.0008775,0.000555,1
3,2,1.0875253677368164,0.7246251106262207,335,0,0,335,0,37,37,0.0,0.0,0.0013925,0.0008375,0.000555,2
4,2,1.6627752780914307,1.1589021682739258,343,0,0,343,0,36,36,0.0,0.0,0.0013975,0.0008575,0.00054,0
5,2,1.102201223373413,0.6325531005859375,350,0,0,350,0,38,38,0.0,0.0,0.001445,0.000875,0.00057,2
6,2,0.9247481822967529,0.5765306949615479,362,0,0,362,0,37,37,0.0,0.0,0.00146,0.000905,0.000555,1
7,2,1.1075570583343506,0.7373192310333252,329,0,0,329,0,37,37,0.0,0.0,0.0013775,0.0008225,0.000555,0
8,2,1.1072139739990234,0.7537291049957275,335,0,0,335,0,36,36,0.0,0.0,0.0013775,0.0008375,0.00054,2
9,2,5.039191722869873,0.6069262027740479,340,0,0,340,0,36,36,0.0,0.0,0.00139,0.00085,0.00054,0
10,2,2.672656536102295,0.6791071891784668,347,0,0,347,0,38,38,0.0,0.0,0.0014375,0.0008675,0.00057,1
11,2,1.066918134689331,0.6284794807434082,311,0,0,311,0,37,37,0.0,0.0,0.0013325,0.0007775,0.000555,0
12,2,0.973656415939331,0.6153247356414795,311,0,0,311,0,37,37,0.0,0.0,0.0013325,0.0007775,0.000555,0
13,2,1.155672550201416,0.7739028930664062,319,0,0,319,0,38,38,0.0,0.0,0.0013675,0.0007975,0.00057,1
14,2,1.0334749221801758,0.6342930793762207,336,0,0,336,0,37,37,0.0,0.0,0.001395,0.00084,0.000555,1
15,2,1.0144660472869873,0.6475942134857178,313,0,0,313,0,38,38,0.0,0.0,0.0013525,0.0007825,0.00057,0
16,2,1.111767292022705,0.7245080471038818,345,0,0,345,0,36,36,0.0,0.0,0.0014025,0.0008625,0.00054,1
17,2,1.0934562683105469,0.654853343963623,340,0,0,340,0,38,38,0.0,0.0,0.00142,0.00085,0.00057,1
