batch_size,accuracy,total_tweets,correct,true_positives,false_positives,true_negatives,false_negatives,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,0.8,100,80,38,6,42,14,107.97520661354065,100,29619,0,0,29619,0,2560,2560,0.0,0.0,0.11244750000000003,0.0740475,0.03840000000000006
2,0.76,100,76,37,9,39,15,67.70305252075195,50,16556,0,0,16556,0,1860,1860,0.0,0.0,0.06928999999999999,0.04139000000000001,0.0279
5,0.81,100,81,39,6,42,13,29.742812395095825,20,8732,0,0,8732,0,1440,1440,0.0,0.0,0.043429999999999996,0.021829999999999995,0.021599999999999998
10,0.8,100,80,37,5,43,15,35.0354905128479,10,6095,0,0,6095,0,1300,1300,0.0,0.0,0.034737500000000004,0.015237499999999998,0.0195
20,0.79,100,79,37,6,42,15,15.400798082351685,5,4802,0,0,4802,0,1230,1230,0.0,0.0,0.030455,0.012005,0.018449999999999998
25,0.78,100,78,35,5,43,17,16.782663583755493,4,4542,0,0,4542,0,1216,1216,0.0,0.0,0.029595,0.011355,0.01824
50,0.76,100,76,33,5,43,19,13.546881675720215,2,4018,0,0,4018,0,1188,1188,0.0,0.0,0.027865,0.010045,0.017820000000000003
100,0.74,100,74,31,5,43,21,12.362859964370728,1,3756,0,0,3756,0,1174,1174,0.0,0.0,0.027,0.00939,0.01761
