batch_size,accuracy,total_tweets,correct,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,0.72,100,72,142.70720028877258,100,65758,0,0,65758,0,2308,2308,0.0,0.0,0.07729799999999999,0.06575799999999998,0.01154000000000001
2,0.73,100,73,63.9946813583374,50,35105,0,0,35105,0,1959,1959,0.0,0.0,0.0449,0.035105,0.009795000000000005
5,0.67,100,67,27.227288722991943,20,16727,0,0,16727,0,1751,1751,0.0,0.0,0.025481999999999994,0.016727,0.008754999999999999
10,0.7,100,70,19.273725986480713,10,10606,0,0,10606,0,1681,1681,0.0,0.0,0.019011000000000004,0.010606,0.008405
20,0.78,100,78,17.141586303710938,5,7535,0,0,7535,0,1647,1647,0.0,0.0,0.01577,0.007535,0.008235
25,0.73,100,73,10.872600793838501,4,6924,0,0,6924,0,1642,1642,0.0,0.0,0.015134,0.0069240000000000005,0.00821
50,0.74,100,74,9.227433919906616,2,5696,0,0,5696,0,1626,1626,0.0,0.0,0.013826000000000001,0.005696,0.00813
100,0.76,100,76,8.253731727600098,1,5086,0,0,5086,0,1614,1614,0.0,0.0,0.013156,0.005086,0.00807
