batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,10,1.935122013092041,0.8564116954803467,675,0,0,675,0,133,133,0.0,0.0,0.0036825,0.0016875,0.001995,4
2,10,1.8934857845306396,0.6646358966827393,604,0,0,604,0,132,132,0.0,0.0,0.00349,0.00151,0.00198,6
3,10,4.746885776519775,0.7994041442871094,678,0,0,678,0,133,133,0.0,0.0,0.00369,0.001695,0.001995,4
4,10,2.623394012451172,0.9949488639831543,680,0,0,680,0,134,134,0.0,0.0,0.00371,0.0017,0.00201,4
5,10,2.628925085067749,0.9314110279083252,789,0,0,789,0,134,134,0.0,0.0,0.0039825,0.0019725,0.00201,7
6,10,2.5491068363189697,0.8057429790496826,685,0,0,685,0,133,133,0.0,0.0,0.0037075,0.0017125,0.001995,6
7,10,2.4299020767211914,0.8643319606781006,614,0,0,614,0,132,132,0.0,0.0,0.003515,0.001535,0.00198,7
8,10,2.2724831104278564,0.9280712604522705,656,0,0,656,0,133,133,0.0,0.0,0.003635,0.00164,0.001995,5
9,10,1.7897050380706787,0.6238770484924316,818,0,0,818,0,133,133,0.0,0.0,0.00404,0.002045,0.001995,3
10,10,2.0012707710266113,0.8081650733947754,624,0,0,624,0,131,131,0.0,0.0,0.003525,0.00156,0.001965,5
