batch_size,accuracy,total_reviews,correct,true_positives,false_positives,true_negatives,false_negatives,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,0.88,100,88,52,1,36,11,143.2476363182068,100,29428,0,0,29428,0,2588,2588,0.0,0.0,0.11239000000000003,0.07357,0.03882000000000007
2,0.87,100,87,51,1,36,12,63.277207136154175,50,16876,0,0,16876,0,1888,1888,0.0,0.0,0.07051000000000002,0.04219,0.02832000000000001
5,0.86,100,86,50,1,36,13,34.01843786239624,20,9352,0,0,9352,0,1468,1468,0.0,0.0,0.0454,0.023380000000000005,0.022019999999999998
10,0.86,100,86,50,1,36,13,24.870280504226685,10,6823,0,0,6823,0,1328,1328,0.0,0.0,0.0369775,0.0170575,0.01992
20,0.87,100,87,51,1,36,12,16.58337163925171,5,5571,0,0,5571,0,1258,1258,0.0,0.0,0.0327975,0.013927499999999999,0.01887
25,0.85,100,85,48,0,37,15,16.177721738815308,4,5325,0,0,5325,0,1244,1244,0.0,0.0,0.0319725,0.0133125,0.01866
50,0.86,100,86,50,1,36,13,12.917049884796143,2,4821,0,0,4821,0,1216,1216,0.0,0.0,0.0302925,0.0120525,0.01824
100,0.86,100,86,50,1,36,13,10.971318006515503,1,4567,0,0,4567,0,1202,1202,0.0,0.0,0.0294475,0.0114175,0.01803
