batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,20,3.6427102088928223,0.6697149276733398,1028,0,0,1028,0,251,251,0.0,0.0,0.006335,0.00257,0.003765,10
2,20,3.0736379623413086,0.7399258613586426,1112,0,0,1112,0,253,253,0.0,0.0,0.006575,0.00278,0.003795,9
3,20,3.182046890258789,1.0062990188598633,1225,0,0,1225,0,253,253,0.0,0.0,0.0068575,0.0030625,0.003795,13
4,20,3.021174669265747,0.6000568866729736,1017,0,0,1017,0,251,251,0.0,0.0,0.0063075,0.0025425,0.003765,12
5,20,3.663801908493042,0.868549108505249,1189,0,0,1189,0,250,250,0.0,0.0,0.0067225,0.0029725,0.00375,8
