batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,1,2.509255886077881,1.8842990398406982,669,0,0,669,0,21,21,0.0,0.0,0.002322,0.002007,0.000315
2,1,1.787390947341919,1.5024158954620361,660,0,0,660,0,19,19,0.0,0.0,0.002265,0.00198,0.000285
3,1,1.862173318862915,1.5957319736480713,675,0,0,675,0,19,19,0.0,0.0,0.00231,0.002025,0.000285
4,1,2.599108934402466,2.2891809940338135,670,0,0,670,0,20,20,0.0,0.0,0.00231,0.00201,0.0003
5,1,2.2847349643707275,1.9098269939422607,655,0,0,655,0,20,20,0.0,0.0,0.002265,0.001965,0.0003
6,1,1.9793150424957275,1.489711046218872,654,0,0,654,0,21,21,0.0,0.0,0.002277,0.001962,0.000315
7,1,1.971717119216919,1.676887035369873,669,0,0,669,0,19,19,0.0,0.0,0.002292,0.002007,0.000285
8,1,7.461591958999634,7.280357122421265,645,0,0,645,0,19,19,0.0,0.0,0.00222,0.001935,0.000285
9,1,1.8388760089874268,1.49916410446167,642,0,0,642,0,20,20,0.0,0.0,0.002226,0.001926,0.0003
10,1,1.6222620010375977,1.318066120147705,680,0,0,680,0,20,20,0.0,0.0,0.00234,0.00204,0.0003
11,1,2.7222061157226562,2.2621688842773438,665,0,0,665,0,20,20,0.0,0.0,0.002295,0.001995,0.0003
12,1,2.8421318531036377,1.9915130138397217,665,0,0,665,0,20,20,0.0,0.0,0.002295,0.001995,0.0003
13,1,1.5649921894073486,1.261390209197998,652,0,0,652,0,20,20,0.0,0.0,0.002256,0.001956,0.0003
14,1,1.7832918167114258,1.5275278091430664,669,0,0,669,0,19,19,0.0,0.0,0.002292,0.002007,0.000285
15,1,1.5349900722503662,1.222365140914917,682,0,0,682,0,21,21,0.0,0.0,0.002361,0.002046,0.000315
16,1,2.4683189392089844,2.2146847248077393,658,0,0,658,0,20,20,0.0,0.0,0.002274,0.001974,0.0003
17,1,1.8164899349212646,1.5319759845733643,663,0,0,663,0,19,19,0.0,0.0,0.002274,0.001989,0.000285
