batch_size,accuracy,total_tweets,correct,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,0.73,100,73,210.5259895324707,100,65843,0,0,65843,0,2004,2004,0.0,0.0,0.2275890000000001,0.19752900000000007,0.030060000000000028
2,0.75,100,75,102.08000087738037,50,35169,0,0,35169,0,1606,1606,0.0,0.0,0.12959699999999996,0.105507,0.024090000000000004
5,0.73,100,73,58.46185374259949,20,16733,0,0,16733,0,1367,1367,0.0,0.0,0.07070399999999998,0.05019900000000001,0.020505000000000006
10,0.73,100,73,38.18466234207153,10,10608,0,0,10608,0,1284,1284,0.0,0.0,0.051084000000000004,0.031824000000000005,0.01926
20,0.73,100,73,19.5214684009552,5,7536,0,0,7536,0,1244,1244,0.0,0.0,0.041268,0.022608,0.01866
25,0.73,100,73,23.446395874023438,4,6932,0,0,6932,0,1239,1239,0.0,0.0,0.039381,0.020796000000000002,0.018585
50,0.74,100,74,19.687115907669067,2,5698,0,0,5698,0,1220,1220,0.0,0.0,0.035393999999999995,0.017093999999999998,0.0183
100,0.76,100,76,15.167890787124634,1,5082,0,0,5082,0,1215,1215,0.0,0.0,0.033471,0.015246,0.018225
