batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,1,4.259060382843018,3.9514784812927246,651,0,0,651,0,24,24,0.0,0.0,0.002313,0.001953,0.00036,0
2,1,1.4544098377227783,1.1446425914764404,785,0,0,785,0,24,24,0.0,0.0,0.002715,0.002355,0.00036,0
3,1,1.8129596710205078,1.355715036392212,687,0,0,687,0,24,24,0.0,0.0,0.002421,0.002061,0.00036,0
4,1,1.7898766994476318,1.6095893383026123,520,0,0,520,0,24,24,0.0,0.0,0.00192,0.00156,0.00036,0
5,1,1.646920919418335,1.3278493881225586,683,0,0,683,0,24,24,0.0,0.0,0.002409,0.002049,0.00036,0
6,1,1.4453768730163574,1.1335804462432861,677,0,0,677,0,24,24,0.0,0.0,0.002391,0.002031,0.00036,0
7,1,1.410764217376709,1.1535162925720215,713,0,0,713,0,24,24,0.0,0.0,0.002499,0.002139,0.00036,0
8,1,1.928678274154663,1.641739845275879,628,0,0,628,0,24,24,0.0,0.0,0.002244,0.001884,0.00036,0
9,1,1.9880383014678955,1.527414321899414,656,0,0,656,0,24,24,0.0,0.0,0.002328,0.001968,0.00036,0
10,1,1.4073703289031982,1.147829294204712,2015,0,0,2015,0,24,24,0.0,0.0,0.006405,0.006045,0.00036,0
11,1,4.127307415008545,3.8326053619384766,645,0,0,645,0,24,24,0.0,0.0,0.002295,0.001935,0.00036,0
12,1,1.6615209579467773,1.3596386909484863,711,0,0,711,0,24,24,0.0,0.0,0.002493,0.002133,0.00036,0
13,1,2.211329221725464,1.9451696872711182,650,0,0,650,0,24,24,0.0,0.0,0.00231,0.00195,0.00036,0
14,1,1.578922986984253,1.2757718563079834,724,0,0,724,0,24,24,0.0,0.0,0.002532,0.002172,0.00036,0
15,1,2.0028975009918213,1.524977684020996,788,0,0,788,0,24,24,0.0,0.0,0.002724,0.002364,0.00036,0
16,1,2.4910194873809814,2.0368642807006836,545,0,0,545,0,24,24,0.0,0.0,0.001995,0.001635,0.00036,0
17,1,1.4790568351745605,1.1873242855072021,647,0,0,647,0,24,24,0.0,0.0,0.002301,0.001941,0.00036,0
18,1,1.801098346710205,1.4905915260314941,672,0,0,672,0,24,24,0.0,0.0,0.002376,0.002016,0.00036,0
19,1,2.040372133255005,1.716813087463379,710,0,0,710,0,24,24,0.0,0.0,0.00249,0.00213,0.00036,0
20,1,1.5634605884552002,1.2351901531219482,520,0,0,520,0,24,24,0.0,0.0,0.00192,0.00156,0.00036,0
21,1,1.4346504211425781,1.124140739440918,608,0,0,608,0,24,24,0.0,0.0,0.002184,0.001824,0.00036,0
22,1,1.7336862087249756,1.42616868019104,738,0,0,738,0,24,24,0.0,0.0,0.002574,0.002214,0.00036,0
23,1,2.2026472091674805,1.8447039127349854,723,0,0,723,0,24,24,0.0,0.0,0.002529,0.002169,0.00036,0
24,1,1.7465782165527344,1.436929702758789,686,0,0,686,0,24,24,0.0,0.0,0.002418,0.002058,0.00036,0
25,1,5.211737155914307,4.946000099182129,635,0,0,635,0,24,24,0.0,0.0,0.002265,0.001905,0.00036,0
