batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,10,3.7768802642822266,1.6784718036651611,3551,0,0,3551,0,168,168,0.0,0.0,0.013173,0.010653,0.00252,0
2,10,2.7851312160491943,1.3400721549987793,2148,0,0,2148,0,168,168,0.0,0.0,0.008964,0.006444,0.00252,0
3,10,4.033764839172363,2.2254226207733154,2589,0,0,2589,0,168,168,0.0,0.0,0.010287,0.007767,0.00252,0
4,10,4.3334715366363525,2.9009807109832764,2207,0,0,2207,0,167,167,0.0,0.0,0.009126,0.006621,0.002505,0
5,10,3.363358736038208,1.576603889465332,3033,0,0,3033,0,168,168,0.0,0.0,0.011619,0.009099,0.00252,0
6,10,2.9369664192199707,1.256803274154663,2850,0,0,2850,0,168,168,0.0,0.0,0.01107,0.00855,0.00252,0
7,10,3.40224027633667,1.801684856414795,2704,0,0,2704,0,167,167,0.0,0.0,0.010617,0.008112,0.002505,0
8,10,2.950828790664673,1.2240240573883057,3307,0,0,3307,0,168,168,0.0,0.0,0.012441,0.009921,0.00252,1
9,10,2.8684942722320557,1.1978034973144531,2497,0,0,2497,0,167,167,0.0,0.0,0.009996,0.007491,0.002505,0
10,10,3.1729555130004883,1.518099308013916,2388,0,0,2388,0,167,167,0.0,0.0,0.009669,0.007164,0.002505,0
