batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,1,3.3462390899658203,3.1180081367492676,291,0,0,291,0,26,26,0.0,0.0,9.07e-05,5.82e-05,3.25e-05,0
2,1,0.9492719173431396,0.8997819423675537,288,0,0,288,0,26,26,0.0,0.0,9.01e-05,5.76e-05,3.25e-05,0
3,1,0.9076831340789795,0.6694631576538086,281,0,0,281,0,26,26,0.0,0.0,8.87e-05,5.62e-05,3.25e-05,1
4,1,0.9947519302368164,0.750852108001709,321,0,0,321,0,26,26,0.0,0.0,9.67e-05,6.42e-05,3.25e-05,0
5,1,0.6838679313659668,0.516848087310791,276,0,0,276,0,26,26,0.0,0.0,8.77e-05,5.52e-05,3.25e-05,0
6,1,0.77789306640625,0.5949239730834961,286,0,0,286,0,25,25,0.0,0.0,8.845e-05,5.72e-05,3.125e-05,1
7,1,1.2416398525238037,0.9983198642730713,300,0,0,300,0,26,26,0.0,0.0,9.25e-05,6e-05,3.25e-05,0
8,1,0.7081520557403564,0.46283531188964844,293,0,0,293,0,26,26,0.0,0.0,9.11e-05,5.86e-05,3.25e-05,1
9,1,1.0979149341583252,0.8651101589202881,307,0,0,307,0,26,26,0.0,0.0,9.39e-05,6.14e-05,3.25e-05,0
10,1,0.7987749576568604,0.6889088153839111,293,0,0,293,0,26,26,0.0,0.0,9.11e-05,5.86e-05,3.25e-05,1
11,1,0.6571190357208252,0.46579813957214355,288,0,0,288,0,26,26,0.0,0.0,9.01e-05,5.76e-05,3.25e-05,0
12,1,0.6378870010375977,0.4086909294128418,304,0,0,304,0,26,26,0.0,0.0,9.33e-05,6.08e-05,3.25e-05,1
13,1,1.0157711505889893,0.7355129718780518,274,0,0,274,0,25,25,0.0,0.0,8.605e-05,5.48e-05,3.125e-05,0
14,1,1.2206928730010986,0.8977360725402832,282,0,0,282,0,26,26,0.0,0.0,8.89e-05,5.64e-05,3.25e-05,0
15,1,1.0340826511383057,0.641503095626831,280,0,0,280,0,26,26,0.0,0.0,8.85e-05,5.6e-05,3.25e-05,1
16,1,1.0699152946472168,0.6322991847991943,269,0,0,269,0,25,25,0.0,0.0,8.505e-05,5.38e-05,3.125e-05,0
17,1,1.0144240856170654,0.7166452407836914,294,0,0,294,0,26,26,0.0,0.0,9.13e-05,5.88e-05,3.25e-05,1
18,1,1.1256701946258545,0.7971999645233154,289,0,0,289,0,26,26,0.0,0.0,9.03e-05,5.78e-05,3.25e-05,1
19,1,2.69329571723938,2.597245931625366,278,0,0,278,0,26,26,0.0,0.0,8.81e-05,5.56e-05,3.25e-05,1
20,1,1.4002270698547363,0.9067609310150146,310,0,0,310,0,26,26,0.0,0.0,9.45e-05,6.2e-05,3.25e-05,1
21,1,1.0252978801727295,0.617962121963501,296,0,0,296,0,26,26,0.0,0.0,9.17e-05,5.92e-05,3.25e-05,1
22,1,0.8691949844360352,0.6101357936859131,302,0,0,302,0,26,26,0.0,0.0,9.29e-05,6.04e-05,3.25e-05,1
