batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,10,1.3544018268585205,0.9904909133911133,833,0,0,833,0,122,122,0.0,0.0,0.0007825,0.0004165,0.000366
2,10,1.504607915878296,1.0625731945037842,866,0,0,866,0,122,122,0.0,0.0,0.000799,0.000433,0.000366
3,10,1.6687507629394531,1.1672823429107666,815,0,0,815,0,125,125,0.0,0.0,0.0007825,0.0004075,0.000375
4,10,1.635329008102417,1.1960289478302002,802,0,0,802,0,123,123,0.0,0.0,0.00077,0.000401,0.000369
5,10,1.385401725769043,0.953362226486206,836,0,0,836,0,124,124,0.0,0.0,0.00079,0.000418,0.000372
6,10,1.6771049499511719,1.2094881534576416,786,0,0,786,0,127,127,0.0,0.0,0.000774,0.000393,0.000381
7,10,1.630810022354126,0.9617619514465332,785,0,0,785,0,126,126,0.0,0.0,0.0007705,0.0003925,0.000378
8,10,1.3485338687896729,0.9251019954681396,803,0,0,803,0,123,123,0.0,0.0,0.0007705,0.0004015,0.000369
9,10,2.130086898803711,1.4818978309631348,779,0,0,779,0,128,128,0.0,0.0,0.0007735,0.0003895,0.000384
10,10,1.5792648792266846,1.10371732711792,813,0,0,813,0,127,127,0.0,0.0,0.0007875,0.0004065,0.000381
