batch_size,fields_per_call,accuracy,precision,recall,f1,true_positives,false_positives,false_negatives,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,run_id,total_ttft_secs
1,41,0.7630418809698751,0.672168284789644,0.8823279524214104,0.7630418809698751,2077,1013,277,3789.885325908661,100,1261211,0,195888,1261211,0,204022,204022,0.0,0.0,6.990879,3.9305490000000005,3.0603299999999996,1,145.3643536567688
2,41,0.7856586126266563,0.7257019438444925,0.8564146134239592,0.7856586126266563,2016,762,338,3068.4128823280334,50,1161923,0,97950,1161923,0,163737,163737,0.0,0.0,6.015286500000001,3.5592315,2.4560549999999997,1,82.44491672515869
5,41,0.8004110996916752,0.7753882915173238,0.8271028037383178,0.8004110996916752,1947,564,407,2500.6285824775696,20,1102347,0,39184,1102347,0,137968,137968,0.0,0.0,5.405949000000001,3.3364290000000003,2.06952,1,48.7304949760437
10,41,0.8029322984044848,0.8152364273204904,0.7909940526762956,0.8029322984044848,1862,422,492,2043.946780204773,10,1082474,0,19581,1082474,0,118359,118359,0.0,0.0,5.03749275,3.2621077499999998,1.775385,1,34.8413941860199
