run_id,batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
,25,all_fields,1,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,26.319232940673828,0.9109220504760742,6178,0,1960,6178,0,1841,1841,0.0,0.0,0.047619,0.020004,0.027615
,26,all_fields,1,PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement__Document Name_0,55.15058445930481,1.7233285903930664,17762,0,1959,17762,0,2766,2766,0.0,0.0,0.09624525,0.05475525,0.04149
,27,all_fields,1,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement__Document Name_0,45.698874950408936,1.159127950668335,13268,0,1957,13268,0,2610,2610,0.0,0.0,0.08042175,0.04127175,0.03915
,28,all_fields,1,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__Document Name_0,56.17548155784607,1.0243475437164307,11478,0,1958,11478,0,3039,3039,0.0,0.0,0.0814875,0.0359025,0.045585
,29,all_fields,1,RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement__Document Name_0,35.94342494010925,1.1004252433776855,26018,0,1959,26018,0,1966,1966,0.0,0.0,0.10901325,0.07952325,0.02949
,30,all_fields,1,MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,20.943559646606445,0.9559338092803955,5404,0,1964,5404,0,1289,1289,0.0,0.0,0.03702,0.017685,0.019335
,31,all_fields,1,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3__Document Name_0,8.847172737121582,0.9137237071990967,2789,0,1956,2789,0,728,728,0.0,0.0,0.020754,0.009834,0.01092
,32,all_fields,1,SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement__Document Name_0,50.029842376708984,0.941094160079956,18675,0,1962,18675,0,2446,2446,0.0,0.0,0.0941865,0.0574965,0.03669
,33,all_fields,1,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement__Document Name_0,21.270638942718506,1.5260748863220215,5575,0,1961,5575,0,1245,1245,0.0,0.0,0.03687075,0.01819575,0.018675
,34,all_fields,1,FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT__Document Name_0,21.949959993362427,0.8816273212432861,6497,0,1956,6497,0,1255,1255,0.0,0.0,0.039783,0.020958,0.018825
,35,all_fields,1,WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT__Document Name_0,36.90506935119629,0.9881086349487305,8492,0,1959,8492,0,2105,2105,0.0,0.0,0.05852025,0.02694525,0.031575
,36,all_fields,1,EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement__Document Name_0,23.24811577796936,1.5062546730041504,6154,0,1959,6154,0,1163,1163,0.0,0.0,0.03737625,0.01993125,0.017445
,37,all_fields,1,"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT__Document Name_0",67.78496885299683,2.088515281677246,25351,0,1960,25351,0,3404,3404,0.0,0.0,0.128583,0.077523,0.05106
,38,all_fields,1,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement__Document Name_0,13.393888711929321,1.0567426681518555,4896,0,1958,4896,0,773,773,0.0,0.0,0.0277515,0.0161565,0.011595
,39,all_fields,1,"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT__Document Name_0",81.39417052268982,1.5889980792999268,36956,0,1961,36956,0,3676,3676,0.0,0.0,0.16747875,0.11233875,0.05514
,40,all_fields,1,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement__Document Name_0,29.421547174453735,1.0871179103851318,6152,0,1957,6152,0,1663,1663,0.0,0.0,0.04486875,0.01992375,0.024945
,41,all_fields,1,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement__Document Name_0,38.351184129714966,1.4403913021087646,7094,0,1958,7094,0,2241,2241,0.0,0.0,0.0563655,0.0227505,0.033615
,42,all_fields,1,VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT__Document Name_0,70.51567125320435,1.3102107048034668,26130,0,1959,26130,0,3684,3684,0.0,0.0,0.13511925,0.07985925,0.05526
,43,all_fields,1,Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT__Document Name_0,18.674275398254395,3.0338692665100098,4761,0,1958,4761,0,884,884,0.0,0.0,0.0290115,0.0157515,0.01326
,44,all_fields,1,VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement__Document Name_0,22.33209490776062,0.9007377624511719,5678,0,1953,5678,0,1299,1299,0.0,0.0,0.03798375,0.01849875,0.019485
,45,all_fields,1,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,26.40633463859558,0.8801774978637695,5485,0,1963,5485,0,1491,1491,0.0,0.0,0.04029225,0.01792725,0.022365
,46,all_fields,1,"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2__Document Name_0",22.278702974319458,1.4346439838409424,3924,0,1958,3924,0,1419,1419,0.0,0.0,0.0345255,0.0132405,0.021285
,47,all_fields,1,DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT__Document Name_0,14.53333044052124,2.7872774600982666,3801,0,1957,3801,0,954,954,0.0,0.0,0.02718075,0.01287075,0.01431
,48,all_fields,1,WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT - Intellectual Property Rights                 Confidentiality and Non-Use Obligations Agreement__Document Name_0,14.036720991134644,0.9853799343109131,3503,0,1959,3503,0,920,920,0.0,0.0,0.02577825,0.01197825,0.0138
,49,all_fields,1,LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT__Document Name_0,20.725811004638672,1.2701818943023682,6509,0,1957,6509,0,1272,1272,0.0,0.0,0.04007475,0.02099475,0.01908
,50,all_fields,1,WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT__Document Name_0,59.071101665496826,1.023308515548706,16421,0,1963,16421,0,2872,2872,0.0,0.0,0.09381525,0.05073525,0.04308
,51,all_fields,1,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0,34.45379137992859,0.9288215637207031,8043,0,1957,8043,0,1796,1796,0.0,0.0,0.05253675,0.02559675,0.02694
,52,all_fields,1,BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement__Document Name_0,47.81072664260864,1.285954236984253,27458,0,1961,27458,0,2242,2242,0.0,0.0,0.11747475,0.08384475,0.03363
,53,all_fields,1,MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT__Document Name_0,37.26146984100342,0.9565002918243408,7252,0,1958,7252,0,2126,2126,0.0,0.0,0.0551145,0.0232245,0.03189
,54,all_fields,1,ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT__Document Name_0,21.736042499542236,1.0268487930297852,5514,0,1959,5514,0,1249,1249,0.0,0.0,0.03674625,0.01801125,0.018735
,55,all_fields,1,RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement__Document Name_0,43.03091883659363,0.8169891834259033,13748,0,1961,13748,0,2787,2787,0.0,0.0,0.08451975,0.04271475,0.041805
,56,all_fields,1,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT__Document Name_0,46.80436968803406,1.2625377178192139,8624,0,1958,8624,0,2512,2512,0.0,0.0,0.0650205,0.0273405,0.03768
,57,all_fields,1,CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement__Document Name_0,18.881426095962524,1.286353349685669,8960,0,1959,8960,0,1057,1057,0.0,0.0,0.04420425,0.02834925,0.015855
,58,all_fields,1,ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT__Document Name_0,11.27223825454712,0.9247639179229736,5002,0,1957,5002,0,612,612,0.0,0.0,0.02565375,0.01647375,0.00918
,59,all_fields,1,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1__Document Name_0,50.53453540802002,3.5194170475006104,11327,0,1956,11327,0,2387,2387,0.0,0.0,0.071253,0.035448,0.035805
,60,all_fields,1,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT__Document Name_0,5.705351829528809,1.6950149536132812,2318,0,1957,2318,0,502,502,0.0,0.0,0.01595175,0.00842175,0.00753
,61,all_fields,1,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Document Name_0,55.138925075531006,1.039567470550537,13554,0,1960,13554,0,2869,2869,0.0,0.0,0.085167,0.042132,0.043035
