batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,1,1.3968493938446045,1.1037688255310059,377,0,0,377,0,26,26,0.0,0.0,0.0013325,0.0009425,0.00039
2,1,1.2089192867279053,0.9280526638031006,367,0,0,367,0,25,25,0.0,0.0,0.0012925,0.0009175,0.000375
3,1,2.116617441177368,1.8541374206542969,380,0,0,380,0,24,24,0.0,0.0,0.00131,0.00095,0.00036
4,1,0.9855630397796631,0.6268141269683838,374,0,0,374,0,25,25,0.0,0.0,0.00131,0.000935,0.000375
5,1,1.245884656906128,0.7827186584472656,364,0,0,364,0,25,25,0.0,0.0,0.001285,0.00091,0.000375
6,1,0.9374244213104248,0.6480772495269775,358,0,0,358,0,26,26,0.0,0.0,0.001285,0.000895,0.00039
7,1,0.7647533416748047,0.5217208862304688,375,0,0,375,0,24,24,0.0,0.0,0.0012975,0.0009375,0.00036
8,1,0.8686525821685791,0.5884795188903809,353,0,0,353,0,24,24,0.0,0.0,0.0012425,0.0008825,0.00036
9,1,2.6552791595458984,0.6172387599945068,354,0,0,354,0,25,25,0.0,0.0,0.00126,0.000885,0.000375
10,1,1.057704210281372,0.6618726253509521,383,0,0,383,0,25,25,0.0,0.0,0.0013325,0.0009575,0.000375
11,1,0.8722739219665527,0.6133010387420654,363,0,0,363,0,25,25,0.0,0.0,0.0012825,0.0009075,0.000375
12,1,0.8005452156066895,0.5351254940032959,368,0,0,368,0,25,25,0.0,0.0,0.001295,0.00092,0.000375
13,1,0.93393874168396,0.6310884952545166,363,0,0,363,0,25,25,0.0,0.0,0.0012825,0.0009075,0.000375
14,1,0.9031116962432861,0.6294918060302734,383,0,0,383,0,24,24,0.0,0.0,0.0013175,0.0009575,0.00036
15,1,0.899200439453125,0.6074371337890625,380,0,0,380,0,26,26,0.0,0.0,0.00134,0.00095,0.00039
16,1,1.4914751052856445,1.0545988082885742,369,0,0,369,0,25,25,0.0,0.0,0.0012975,0.0009225,0.000375
17,1,1.040454387664795,0.7777993679046631,370,0,0,370,0,24,24,0.0,0.0,0.001285,0.000925,0.00036
18,1,0.9225304126739502,0.6657352447509766,374,0,0,374,0,24,24,0.0,0.0,0.001295,0.000935,0.00036
19,1,0.9266371726989746,0.6319155693054199,376,0,0,376,0,25,25,0.0,0.0,0.001315,0.00094,0.000375
20,1,0.900538444519043,0.6322669982910156,366,0,0,366,0,24,24,0.0,0.0,0.001275,0.000915,0.00036
21,1,0.819979190826416,0.5570733547210693,351,0,0,351,0,25,25,0.0,0.0,0.0012525,0.0008775,0.000375
22,1,1.0147838592529297,0.749861478805542,363,0,0,363,0,26,26,0.0,0.0,0.0012975,0.0009075,0.00039
23,1,1.0568673610687256,0.7015683650970459,370,0,0,370,0,25,25,0.0,0.0,0.0013,0.000925,0.000375
24,1,1.049121618270874,0.7969787120819092,371,0,0,371,0,24,24,0.0,0.0,0.0012875,0.0009275,0.00036
25,1,2.7785964012145996,0.6661763191223145,362,0,0,362,0,25,25,0.0,0.0,0.00128,0.000905,0.000375
26,1,0.9025914669036865,0.5540027618408203,377,0,0,377,0,24,24,0.0,0.0,0.0013025,0.0009425,0.00036
27,1,1.3108184337615967,0.8009774684906006,371,0,0,371,0,25,25,0.0,0.0,0.0013025,0.0009275,0.000375
28,1,0.9604265689849854,0.6701822280883789,356,0,0,356,0,25,25,0.0,0.0,0.001265,0.00089,0.000375
29,1,1.7399744987487793,1.4920563697814941,374,0,0,374,0,25,25,0.0,0.0,0.00131,0.000935,0.000375
30,1,0.9174103736877441,0.6111123561859131,368,0,0,368,0,26,26,0.0,0.0,0.00131,0.00092,0.00039
31,1,1.0849556922912598,0.764124870300293,353,0,0,353,0,26,26,0.0,0.0,0.0012725,0.0008825,0.00039
32,1,0.7371997833251953,0.5209884643554688,370,0,0,370,0,24,24,0.0,0.0,0.001285,0.000925,0.00036
33,1,0.9854457378387451,0.6758873462677002,363,0,0,363,0,25,25,0.0,0.0,0.0012825,0.0009075,0.000375
34,1,0.8258144855499268,0.5690209865570068,369,0,0,369,0,26,26,0.0,0.0,0.0013125,0.0009225,0.00039
35,1,1.1553397178649902,0.8368103504180908,358,0,0,358,0,25,25,0.0,0.0,0.00127,0.000895,0.000375
36,1,0.9207701683044434,0.651191234588623,352,0,0,352,0,24,24,0.0,0.0,0.00124,0.00088,0.00036
37,1,0.890801191329956,0.6266462802886963,379,0,0,379,0,25,25,0.0,0.0,0.0013225,0.0009475,0.000375
38,1,1.066007137298584,0.7746279239654541,366,0,0,366,0,24,24,0.0,0.0,0.001275,0.000915,0.00036
39,1,0.9538576602935791,0.6211972236633301,364,0,0,364,0,25,25,0.0,0.0,0.001285,0.00091,0.000375
