batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,2,1.1046411991119385,0.7532806396484375,413,0,0,413,0,35,35,0.0,0.0,0.0015575,0.0010325,0.000525
2,2,0.9414541721343994,0.5978717803955078,432,0,0,432,0,34,34,0.0,0.0,0.00159,0.00108,0.00051
3,2,1.3694813251495361,1.0105457305908203,396,0,0,396,0,36,36,0.0,0.0,0.00153,0.00099,0.00054
4,2,0.863123893737793,0.5705380439758301,408,0,0,408,0,33,33,0.0,0.0,0.001515,0.00102,0.000495
5,2,1.1118898391723633,0.6877121925354004,412,0,0,412,0,35,35,0.0,0.0,0.001555,0.00103,0.000525
6,2,0.9582204818725586,0.6153466701507568,409,0,0,409,0,35,35,0.0,0.0,0.0015475,0.0010225,0.000525
7,2,1.3415436744689941,0.9212560653686523,416,0,0,416,0,34,34,0.0,0.0,0.00155,0.00104,0.00051
8,2,0.987086296081543,0.5667150020599365,426,0,0,426,0,36,36,0.0,0.0,0.001605,0.001065,0.00054
9,2,1.150115966796875,0.7828547954559326,412,0,0,412,0,34,34,0.0,0.0,0.00154,0.00103,0.00051
10,2,1.4536242485046387,1.0994155406951904,418,0,0,418,0,34,34,0.0,0.0,0.001555,0.001045,0.00051
11,2,1.1422889232635498,0.7618107795715332,381,0,0,381,0,36,36,0.0,0.0,0.0014925,0.0009525,0.00054
12,2,1.4900522232055664,0.8078954219818115,412,0,0,412,0,34,34,0.0,0.0,0.00154,0.00103,0.00051
13,2,1.228306531906128,0.6830193996429443,416,0,0,416,0,34,34,0.0,0.0,0.00155,0.00104,0.00051
14,2,1.1632568836212158,0.736884355545044,401,0,0,401,0,35,35,0.0,0.0,0.0015275,0.0010025,0.000525
15,2,1.1817073822021484,0.7936437129974365,413,0,0,413,0,36,36,0.0,0.0,0.0015725,0.0010325,0.00054
16,2,0.998192548751831,0.6713175773620605,396,0,0,396,0,35,35,0.0,0.0,0.001515,0.00099,0.000525
17,2,1.1741552352905273,0.702467679977417,405,0,0,405,0,36,36,0.0,0.0,0.0015525,0.0010125,0.00054
18,2,0.9874334335327148,0.7985243797302246,375,0,0,375,0,34,34,0.0,0.0,0.0014475,0.0009375,0.00051
19,2,1.0576107501983643,0.7212038040161133,416,0,0,416,0,34,34,0.0,0.0,0.00155,0.00104,0.00051
20,2,1.3569693565368652,0.990220308303833,418,0,0,418,0,36,36,0.0,0.0,0.001585,0.001045,0.00054
21,2,1.0414364337921143,0.6960272789001465,395,0,0,395,0,36,36,0.0,0.0,0.0015275,0.0009875,0.00054
22,2,1.2010095119476318,0.8197081089019775,407,0,0,407,0,34,34,0.0,0.0,0.0015275,0.0010175,0.00051
23,2,1.1759395599365234,0.8118808269500732,407,0,0,407,0,35,35,0.0,0.0,0.0015425,0.0010175,0.000525
24,2,1.3225550651550293,0.9059662818908691,423,0,0,423,0,34,34,0.0,0.0,0.0015675,0.0010575,0.00051
25,2,1.031386137008667,0.6047303676605225,417,0,0,417,0,35,35,0.0,0.0,0.0015675,0.0010425,0.000525
26,2,0.904893159866333,0.5543806552886963,394,0,0,394,0,37,37,0.0,0.0,0.00154,0.000985,0.000555
27,2,1.3570947647094727,0.991962194442749,422,0,0,422,0,35,35,0.0,0.0,0.00158,0.001055,0.000525
28,2,1.1180994510650635,0.7204611301422119,398,0,0,398,0,35,35,0.0,0.0,0.00152,0.000995,0.000525
29,2,1.1501760482788086,0.8225269317626953,385,0,0,385,0,36,36,0.0,0.0,0.0015025,0.0009625,0.00054
30,2,1.002445936203003,0.6442086696624756,398,0,0,398,0,35,35,0.0,0.0,0.00152,0.000995,0.000525
31,2,1.071836233139038,0.7100720405578613,405,0,0,405,0,34,34,0.0,0.0,0.0015225,0.0010125,0.00051
32,2,1.3585796356201172,0.9793593883514404,392,0,0,392,0,37,37,0.0,0.0,0.001535,0.00098,0.000555
33,2,0.9388735294342041,0.5697436332702637,398,0,0,398,0,35,35,0.0,0.0,0.00152,0.000995,0.000525
34,2,1.0789129734039307,0.733569860458374,407,0,0,407,0,36,36,0.0,0.0,0.0015575,0.0010175,0.00054
35,2,1.0739030838012695,0.6436307430267334,390,0,0,390,0,35,35,0.0,0.0,0.0015,0.000975,0.000525
36,2,1.0183351039886475,0.6742594242095947,384,0,0,384,0,34,34,0.0,0.0,0.00147,0.00096,0.00051
37,2,0.9614968299865723,0.5901882648468018,404,0,0,404,0,35,35,0.0,0.0,0.001535,0.00101,0.000525
38,2,1.059131145477295,0.7120115756988525,426,0,0,426,0,35,35,0.0,0.0,0.00159,0.001065,0.000525
39,2,1.2652180194854736,0.8190505504608154,403,0,0,403,0,34,34,0.0,0.0,0.0015175,0.0010075,0.00051
40,2,1.2773051261901855,0.9015834331512451,394,0,0,394,0,37,37,0.0,0.0,0.00154,0.000985,0.000555
41,2,1.1166355609893799,0.746549129486084,379,0,0,379,0,35,35,0.0,0.0,0.0014725,0.0009475,0.000525
42,2,1.0076699256896973,0.6501724720001221,402,0,0,402,0,36,36,0.0,0.0,0.001545,0.001005,0.00054
43,2,1.190840482711792,0.7826168537139893,404,0,0,404,0,36,36,0.0,0.0,0.00155,0.00101,0.00054
44,2,2.3818204402923584,0.8890833854675293,398,0,0,398,0,37,37,0.0,0.0,0.00155,0.000995,0.000555
45,2,1.0434308052062988,0.719590425491333,414,0,0,414,0,35,35,0.0,0.0,0.00156,0.001035,0.000525
46,2,0.9917190074920654,0.6351158618927002,405,0,0,405,0,35,35,0.0,0.0,0.0015375,0.0010125,0.000525
47,2,0.8924264907836914,0.5721564292907715,413,0,0,413,0,36,36,0.0,0.0,0.0015725,0.0010325,0.00054
48,2,1.6028192043304443,1.2366702556610107,406,0,0,406,0,37,37,0.0,0.0,0.00157,0.001015,0.000555
49,2,1.5891215801239014,1.5469756126403809,392,0,0,392,0,35,35,0.0,0.0,0.001505,0.00098,0.000525
50,2,1.1053729057312012,0.738410234451294,418,0,0,418,0,36,36,0.0,0.0,0.001585,0.001045,0.00054
