batch_size,fields_per_call,accuracy,precision,recall,f1,true_positives,false_positives,false_negatives,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,run_id,total_ttft_secs
1,41,0.7253049980322708,0.6755865102639296,0.7829226847918437,0.7253049980322708,1843,885,511,844.5984375476837,100,1200187,0,0,1200187,0,116359,116359,0.0,0.0,0.38548615,0.24003739999999998,0.14544874999999996,1,72.3127281665802
2,41,0.7250257466529351,0.703718512594962,0.7476635514018691,0.7250257466529351,1760,741,594,767.9775350093842,50,1076743,0,0,1076743,0,101492,101492,0.0,0.0,0.3422136,0.21534860000000003,0.126865,1,50.69968104362488
5,41,0.7190012695725774,0.7162731871838112,0.7217502124044181,0.7190012695725774,1699,673,655,625.7725415229797,20,1002719,0,0,1002719,0,87991,87991,0.0,0.0,0.31053254999999996,0.2005438,0.10998875000000001,1,22.11425757408142
10,41,0.6879756468797564,0.7046770601336303,0.6720475785896347,0.6879756468797564,1582,663,772,556.5171456336975,10,978031,0,0,978031,0,72445,72445,0.0,0.0,0.28616244999999996,0.1956062,0.09055625,1,21.49690341949463
