batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
72,all_fields,1,WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT__Document Name_0,12.512386083602905,0.7869343757629395,18033,0,0,18033,0,1924,1924,0.0,0.0,0.0060116,0.0036066,0.002405
73,all_fields,1,"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT__Document Name_0",4.479173421859741,0.6662240028381348,4016,0,0,4016,0,540,540,0.0,0.0,0.0014782,0.0008032,0.000675
74,all_fields,1,VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement__Document Name_0,3.995124340057373,0.515667200088501,4727,0,0,4727,0,605,605,0.0,0.0,0.00170165,0.0009454,0.00075625
75,all_fields,1,ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement__Document Name_0,10.972434759140015,0.8338663578033447,11851,0,0,11851,0,1463,1463,0.0,0.0,0.00419895,0.0023702,0.00182875
76,all_fields,1,LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1__Document Name_0,8.58345103263855,0.6133909225463867,12357,0,0,12357,0,1351,1351,0.0,0.0,0.00416015,0.0024714,0.00168875
77,all_fields,1,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT__Document Name_0,8.47058916091919,0.5273127555847168,10786,0,0,10786,0,1209,1209,0.0,0.0,0.00366845,0.0021572,0.00151125
78,all_fields,1,MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT__Document Name_0,13.536659240722656,0.7678346633911133,35702,0,0,35702,0,2167,2167,0.0,0.0,0.00984915,0.0071404,0.00270875
79,all_fields,1,VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT__Document Name_0,9.635347366333008,0.5163421630859375,13195,0,0,13195,0,1601,1601,0.0,0.0,0.00464025,0.002639,0.00200125
80,all_fields,1,ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement__Document Name_0,5.2718541622161865,0.5319159030914307,5478,0,0,5478,0,704,704,0.0,0.0,0.0019756,0.0010956,0.00088
81,all_fields,1,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT__Document Name_0,3.589176893234253,0.6640887260437012,3302,0,0,3302,0,422,422,0.0,0.0,0.0011879,0.0006604,0.0005275
82,all_fields,1,LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT__Document Name_0,7.823099374771118,0.5934600830078125,10124,0,0,10124,0,1217,1217,0.0,0.0,0.00354605,0.0020248,0.00152125
83,all_fields,1,OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT__Document Name_0,13.869591474533081,0.817873477935791,34105,0,0,34105,0,2160,2160,0.0,0.0,0.009521,0.006821,0.0027
84,all_fields,1,"XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT__Document Name_0",4.171137809753418,0.413097620010376,3751,0,0,3751,0,668,668,0.0,0.0,0.0015852,0.0007502,0.000835
85,all_fields,1,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement__Document Name_0,9.646031618118286,0.509392499923706,12053,0,0,12053,0,1521,1521,0.0,0.0,0.00431185,0.0024106,0.00190125
86,all_fields,1,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement__Document Name_0,6.028140306472778,0.6231915950775146,6324,0,0,6324,0,653,653,0.0,0.0,0.00208105,0.0012648,0.00081625
87,all_fields,1,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2__Document Name_0,3.729379177093506,0.6056163311004639,3121,0,0,3121,0,353,353,0.0,0.0,0.00106545,0.0006242,0.00044125
88,all_fields,1,XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT__Document Name_0,5.899311542510986,0.7433586120605469,12985,0,0,12985,0,702,702,0.0,0.0,0.0034745,0.002597,0.0008775
89,all_fields,1,DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT__Document Name_0,7.398905277252197,0.8040471076965332,10074,0,0,10074,0,1173,1173,0.0,0.0,0.00348105,0.0020148,0.00146625
90,all_fields,1,ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement__Document Name_0,5.759723663330078,0.8466780185699463,8113,0,0,8113,0,755,755,0.0,0.0,0.00256635,0.0016226,0.00094375
91,all_fields,1,FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement__Document Name_0,6.307992219924927,0.5499069690704346,9784,0,0,9784,0,931,931,0.0,0.0,0.00312055,0.0019568,0.00116375
92,all_fields,1,SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0,9.357456684112549,0.5503597259521484,10563,0,0,10563,0,1392,1392,0.0,0.0,0.0038526,0.0021126,0.00174
93,all_fields,1,"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT__Document Name_0",7.855684757232666,2.604344606399536,9145,0,0,9145,0,839,839,0.0,0.0,0.00287775,0.001829,0.00104875
94,all_fields,1,DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT__Document Name_0,18.048620223999023,0.6071691513061523,7691,0,0,7691,0,1110,1110,0.0,0.0,0.0029257,0.0015382,0.0013875
95,all_fields,1,VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT__Document Name_0,11.402486801147461,0.5840408802032471,15067,0,0,15067,0,1787,1787,0.0,0.0,0.00524715,0.0030134,0.00223375
96,all_fields,1,StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement__Document Name_0,15.392508745193481,0.6635165214538574,18837,0,0,18837,0,2312,2312,0.0,0.0,0.0066574,0.0037674,0.00289
97,all_fields,1,IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT__Document Name_0,12.163949966430664,0.5886361598968506,7112,0,0,7112,0,1602,1602,0.0,0.0,0.0034249,0.0014224,0.0020025
98,all_fields,1,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1__Document Name_0,19.721856355667114,1.361154556274414,34420,0,0,34420,0,2124,2124,0.0,0.0,0.009539,0.006884,0.002655
99,all_fields,1,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,11.39262580871582,0.47991466522216797,11748,0,0,11748,0,1819,1819,0.0,0.0,0.00462335,0.0023496,0.00227375
100,all_fields,1,GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement__Document Name_0,4.9939234256744385,0.5082437992095947,6452,0,0,6452,0,796,796,0.0,0.0,0.0022854,0.0012904,0.000995
