batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,5,1.3331265449523926,0.5907812118530273,1026,0,0,1026,0,79,79,0.0,0.0,0.00375,0.002565,0.001185,0
2,5,1.9310903549194336,1.0081889629364014,2190,0,0,2190,0,79,79,0.0,0.0,0.00666,0.005475,0.001185,0
3,5,1.391000509262085,0.7150440216064453,1200,0,0,1200,0,79,79,0.0,0.0,0.004185,0.003,0.001185,0
4,5,1.3503355979919434,0.6493771076202393,783,0,0,783,0,79,79,0.0,0.0,0.0031425,0.0019575,0.001185,0
5,5,1.4987385272979736,0.6022670269012451,1078,0,0,1078,0,79,79,0.0,0.0,0.00388,0.002695,0.001185,0
6,5,1.471024751663208,0.7007830142974854,1299,0,0,1299,0,79,79,0.0,0.0,0.0044325,0.0032475,0.001185,0
7,5,1.4326717853546143,0.6724085807800293,1361,0,0,1361,0,78,78,0.0,0.0,0.0045725,0.0034025,0.00117,0
8,5,1.3380663394927979,0.6764984130859375,723,0,0,723,0,79,79,0.0,0.0,0.0029925,0.0018075,0.001185,0
9,5,1.4253017902374268,0.734752893447876,1491,0,0,1491,0,79,79,0.0,0.0,0.0049125,0.0037275,0.001185,0
10,5,1.3721818923950195,0.659618616104126,1287,0,0,1287,0,79,79,0.0,0.0,0.0044025,0.0032175,0.001185,0
11,5,1.6317110061645508,0.8456151485443115,965,0,0,965,0,79,79,0.0,0.0,0.0035975,0.0024125,0.001185,0
12,5,1.423232078552246,0.6394221782684326,1647,0,0,1647,0,79,79,0.0,0.0,0.0053025,0.0041175,0.001185,0
13,5,1.4382905960083008,0.7696413993835449,1037,0,0,1037,0,78,78,0.0,0.0,0.0037625,0.0025925,0.00117,0
14,5,1.4062981605529785,0.6765308380126953,1474,0,0,1474,0,79,79,0.0,0.0,0.00487,0.003685,0.001185,0
15,5,1.4256794452667236,0.6911556720733643,1334,0,0,1334,0,79,79,0.0,0.0,0.00452,0.003335,0.001185,1
16,5,1.4013645648956299,0.6518614292144775,1651,0,0,1651,0,79,79,0.0,0.0,0.0053125,0.0041275,0.001185,0
17,5,1.479156494140625,0.6955709457397461,1286,0,0,1286,0,79,79,0.0,0.0,0.0044,0.003215,0.001185,0
18,5,3.018601417541504,2.792402505874634,1042,0,0,1042,0,78,78,0.0,0.0,0.003775,0.002605,0.00117,0
19,5,1.2342183589935303,0.5878522396087646,1090,0,0,1090,0,78,78,0.0,0.0,0.003895,0.002725,0.00117,0
20,5,1.6806728839874268,0.8061246871948242,1126,0,0,1126,0,79,79,0.0,0.0,0.004,0.002815,0.001185,0
