batch_size,precision,recall,f1,true_positives,false_positives,false_negatives,num_ground_truth,pool_size,total_latency_secs,total_llm_calls,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,0.0,0.0,0.0,0,0,1,1,100,109.33165407180786,100,45090,0,0,45090,0,2696,2696,0.0,0.0,0.15316499999999994,0.11272499999999996,0.04044000000000001
2,1.0,1.0,1.0,1,0,0,1,100,57.72312521934509,50,32590,0,0,32590,0,1996,1996,0.0,0.0,0.11141499999999997,0.081475,0.02993999999999999
5,1.0,1.0,1.0,1,0,0,1,100,30.68276309967041,20,25090,0,0,25090,0,1576,1576,0.0,0.0,0.086365,0.06272499999999999,0.023639999999999998
10,1.0,1.0,1.0,1,0,0,1,100,21.42346167564392,10,22590,0,0,22590,0,1436,1436,0.0,0.0,0.078015,0.05647499999999999,0.021540000000000004
20,1.0,1.0,1.0,1,0,0,1,100,18.530714750289917,5,21340,0,0,21340,0,1366,1366,0.0,0.0,0.07383999999999999,0.05335,0.02049
50,1.0,1.0,1.0,1,0,0,1,100,13.22995138168335,2,20590,0,0,20590,0,1324,1324,0.0,0.0,0.07133500000000001,0.051475,0.019860000000000003
100,1.0,1.0,1.0,1,0,0,1,100,14.487717390060425,1,20340,0,0,20340,0,1310,1310,0.0,0.0,0.0705,0.05085,0.01965
