batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,20,4.85354471206665,2.3553597927093506,4449,0,0,4449,0,274,274,0.0,0.0,0.0152325,0.0111225,0.00411,0
2,20,3.1806986331939697,0.6714739799499512,3711,0,0,3711,0,273,273,0.0,0.0,0.0133725,0.0092775,0.004095,0
3,20,3.3123152256011963,0.855445146560669,4640,0,0,4640,0,274,274,0.0,0.0,0.01571,0.0116,0.00411,0
4,20,3.294004440307617,0.8519766330718994,4746,0,0,4746,0,273,273,0.0,0.0,0.01596,0.011865,0.004095,1
5,20,3.8901517391204834,1.0231657028198242,3794,0,0,3794,0,272,272,0.0,0.0,0.013565,0.009485,0.00408,0
